Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Bulgaria (BG),02.01.2018 09:00 - 02.01.2018 10:00 (CET),28,2356,0,263,67,0,0,0,0,0,154,129,0,2110,0,0,148,5,0,321
Bulgaria (BG),02.01.2018 10:00 - 02.01.2018 11:00 (CET),28,2339,0,261,68,0,0,0,0,0,149,9,0,2110,0,0,202,5,0,301
Bulgaria (BG),02.01.2018 11:00 - 02.01.2018 12:00 (CET),28,2173,0,262,68,0,0,0,0,0,144,9,0,2108,0,0,260,5,0,291
Bulgaria (BG),02.01.2018 12:00 - 02.01.2018 13:00 (CET),27,2017,0,287,69,0,0,0,0,0,147,9,0,2109,0,0,299,5,0,303
Bulgaria (BG),02.01.2018 13:00 - 02.01.2018 14:00 (CET),27,1961,0,290,70,0,0,0,0,0,148,9,0,2108,0,0,242,5,0,286
Bulgaria (BG),02.01.2018 14:00 - 02.01.2018 15:00 (CET),27,2141,0,301,70,0,0,0,0,0,143,85,0,2108,0,0,129,4,0,199
Bulgaria (BG),02.01.2018 15:00 - 02.01.2018 16:00 (CET),28,2344,0,304,70,0,0,0,0,0,139,210,0,2104,0,0,17,3,0,123
Bulgaria (BG),02.01.2018 16:00 - 02.01.2018 17:00 (CET),28,2453,0,311,70,0,0,0,0,199,127,321,0,2104,0,0,0,3,0,126
Bulgaria (BG),02.01.2018 17:00 - 02.01.2018 18:00 (CET),27,2322,0,308,70,0,0,0,0,398,123,522,0,2107,0,0,0,5,0,79
Bulgaria (BG),02.01.2018 18:00 - 02.01.2018 19:00 (CET),28,2301,0,308,69,0,0,0,0,400,138,514,0,2109,0,0,0,4,0,69
