Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Austria (AT),01.01.2018 14:30 - 01.01.2018 14:45 (CET),316,0,0,98,150,0,0,0,0,837,3583,126,0,0,22,0,108,100,0,890
Austria (AT),01.01.2018 14:45 - 01.01.2018 15:00 (CET),316,0,0,155,152,0,0,0,0,831,3580,186,0,0,22,0,93,100,0,867
Austria (AT),01.01.2018 15:00 - 01.01.2018 15:15 (CET),316,0,0,305,151,0,0,0,0,928,3594,150,0,0,22,0,77,100,0,834
Austria (AT),01.01.2018 15:15 - 01.01.2018 15:30 (CET),316,0,0,328,151,0,0,0,0,958,3543,236,0,0,22,0,62,100,0,737
Austria (AT),01.01.2018 15:30 - 01.01.2018 15:45 (CET),316,0,0,332,150,0,0,0,0,946,3603,235,0,0,22,0,48,100,0,685
Austria (AT),01.01.2018 15:45 - 01.01.2018 16:00 (CET),316,0,0,334,150,0,0,0,0,924,3658,170,0,0,22,0,35,100,0,700
Austria (AT),01.01.2018 16:00 - 01.01.2018 16:15 (CET),316,0,0,358,150,0,0,0,0,823,3666,225,0,0,22,0,28,100,0,613
Austria (AT),01.01.2018 16:15 - 01.01.2018 16:30 (CET),316,0,0,357,150,0,0,0,0,724,3665,270,0,0,22,0,21,100,0,521
Austria (AT),01.01.2018 16:30 - 01.01.2018 16:45 (CET),316,0,0,350,153,0,0,0,0,446,3678,395,0,0,22,0,15,100,0,463
Austria (AT),01.01.2018 16:45 - 01.01.2018 17:00 (CET),316,0,0,376,151,0,0,0,0,244,3664,520,0,0,22,0,8,100,0,385
Austria (AT),01.01.2018 17:00 - 01.01.2018 17:15 (CET),316,0,0,526,152,0,0,0,0,0,3634,522,0,0,22,0,8,100,0,288
Austria (AT),01.01.2018 17:15 - 01.01.2018 17:30 (CET),316,0,0,648,152,0,0,0,0,0,3658,635,0,0,22,0,8,100,0,233
Austria (AT),01.01.2018 17:30 - 01.01.2018 17:45 (CET),316,0,0,628,151,0,0,0,0,0,3657,659,0,0,22,0,8,100,0,200
Austria (AT),01.01.2018 17:45 - 01.01.2018 18:00 (CET),316,0,0,612,154,0,0,0,0,0,3686,692,0,0,22,0,8,100,0,211
Austria (AT),01.01.2018 18:00 - 01.01.2018 18:15 (CET),316,0,0,621,151,0,0,0,0,0,3755,446,0,0,22,0,8,100,0,218
Austria (AT),01.01.2018 18:15 - 01.01.2018 18:30 (CET),316,0,0,630,152,0,0,0,0,0,3762,457,0,0,22,0,8,100,0,218
Austria (AT),01.01.2018 18:30 - 01.01.2018 18:45 (CET),316,0,0,634,152,0,0,0,0,0,3764,450,0,0,22,0,8,100,0,187
Austria (AT),01.01.2018 18:45 - 01.01.2018 19:00 (CET),316,0,0,676,151,0,0,0,0,0,3770,514,0,0,22,0,8,100,0,167
Austria (AT),01.01.2018 19:00 - 01.01.2018 19:15 (CET),316,0,0,729,152,0,0,0,0,0,3712,479,0,0,22,0,0,100,0,174
Austria (AT),01.01.2018 19:15 - 01.01.2018 19:30 (CET),316,0,0,754,152,0,0,0,0,0,3726,391,0,0,22,0,0,100,0,218
Austria (AT),01.01.2018 19:30 - 01.01.2018 19:45 (CET),316,0,0,758,152,0,0,0,0,0,3726,333,0,0,22,0,0,100,0,259
Austria (AT),01.01.2018 19:45 - 01.01.2018 20:00 (CET),316,0,0,754,152,0,0,0,0,0,3702,337,0,0,22,0,0,100,0,235
Austria (AT),01.01.2018 20:00 - 01.01.2018 20:15 (CET),316,0,0,784,152,0,0,0,0,60,3717,252,0,0,22,0,0,100,0,208
Austria (AT),01.01.2018 20:15 - 01.01.2018 20:30 (CET),316,0,0,801,152,0,0,0,0,266,3696,233,0,0,22,0,0,100,0,213
Austria (AT),01.01.2018 20:30 - 01.01.2018 20:45 (CET),316,0,0,797,152,0,0,0,0,273,3650,223,0,0,22,0,0,100,0,223
Austria (AT),01.01.2018 20:45 - 01.01.2018 21:00 (CET),316,0,0,796,152,0,0,0,0,268,3595,263,0,0,22,0,0,100,0,217
Austria (AT),01.01.2018 21:00 - 01.01.2018 21:15 (CET),316,0,0,791,152,0,0,0,0,0,3405,365,0,0,22,0,0,100,0,206
Austria (AT),01.01.2018 21:15 - 01.01.2018 21:30 (CET),316,0,0,792,153,0,0,0,0,0,3378,374,0,0,22,0,0,100,0,194
Austria (AT),01.01.2018 21:30 - 01.01.2018 21:45 (CET),316,0,0,796,152,0,0,0,0,0,3378,328,0,0,22,0,0,100,0,172
Austria (AT),01.01.2018 21:45 - 01.01.2018 22:00 (CET),316,0,0,799,153,0,0,0,0,0,3362,346,0,0,22,0,0,100,0,175
