Time (CET),Day-ahead Total Load Forecast [MW] - Belgium (BE),Actual Total Load [MW] - Belgium (BE)
02.01.2018 10:00 - 02.01.2018 10:15,11583,10690
02.01.2018 10:15 - 02.01.2018 10:30,11590,10704
02.01.2018 10:30 - 02.01.2018 10:45,11593,10859
02.01.2018 10:45 - 02.01.2018 11:00,11634,11060
02.01.2018 11:00 - 02.01.2018 11:15,11690,11030
02.01.2018 11:15 - 02.01.2018 11:30,11734,11048
02.01.2018 11:30 - 02.01.2018 11:45,11775,11103
02.01.2018 11:45 - 02.01.2018 12:00,11781,11186
02.01.2018 12:00 - 02.01.2018 12:15,11644,11180
02.01.2018 12:15 - 02.01.2018 12:30,11579,11136
02.01.2018 12:30 - 02.01.2018 12:45,11541,11138
02.01.2018 12:45 - 02.01.2018 13:00,11506,11165
02.01.2018 13:00 - 02.01.2018 13:15,11503,11084
02.01.2018 13:15 - 02.01.2018 13:30,11501,11025
02.01.2018 13:30 - 02.01.2018 13:45,11468,11006
02.01.2018 13:45 - 02.01.2018 14:00,11425,10868
02.01.2018 14:00 - 02.01.2018 14:15,11389,10960
02.01.2018 14:15 - 02.01.2018 14:30,11368,10906
02.01.2018 14:30 - 02.01.2018 14:45,11354,10923
02.01.2018 14:45 - 02.01.2018 15:00,11329,10871
02.01.2018 15:00 - 02.01.2018 15:15,11396,11044
02.01.2018 15:15 - 02.01.2018 15:30,11349,11059
02.01.2018 15:30 - 02.01.2018 15:45,11335,11078
02.01.2018 15:45 - 02.01.2018 16:00,11345,11001
02.01.2018 16:00 - 02.01.2018 16:15,11256,10850
02.01.2018 16:15 - 02.01.2018 16:30,11319,10938
02.01.2018 16:30 - 02.01.2018 16:45,11418,10970
02.01.2018 16:45 - 02.01.2018 17:00,11603,11100
02.01.2018 17:00 - 02.01.2018 17:15,11888,11114
02.01.2018 17:15 - 02.01.2018 17:30,12003,11205
02.01.2018 17:30 - 02.01.2018 17:45,12081,11380
02.01.2018 17:45 - 02.01.2018 18:00,12122,11502
02.01.2018 18:00 - 02.01.2018 18:15,12206,11424
02.01.2018 18:15 - 02.01.2018 18:30,12119,11377
02.01.2018 18:30 - 02.01.2018 18:45,12056,11256
02.01.2018 18:45 - 02.01.2018 19:00,11971,11163
02.01.2018 19:00 - 02.01.2018 19:15,11853,11074
02.01.2018 19:15 - 02.01.2018 19:30,11701,10908
02.01.2018 19:30 - 02.01.2018 19:45,11582,10872
02.01.2018 19:45 - 02.01.2018 20:00,11406,10781
02.01.2018 20:00 - 02.01.2018 20:15,11277,10640
02.01.2018 20:15 - 02.01.2018 20:30,11131,10427
02.01.2018 20:30 - 02.01.2018 20:45,10988,10343
02.01.2018 20:45 - 02.01.2018 21:00,10883,10255
02.01.2018 21:00 - 02.01.2018 21:15,10711,10112
02.01.2018 21:15 - 02.01.2018 21:30,10615,9988
02.01.2018 21:30 - 02.01.2018 21:45,10491,9857
02.01.2018 21:45 - 02.01.2018 22:00,10420,9824
02.01.2018 22:00 - 02.01.2018 22:15,10604,9939
02.01.2018 22:15 - 02.01.2018 22:30,10762,10084
02.01.2018 22:30 - 02.01.2018 22:45,10804,10022
02.01.2018 22:45 - 02.01.2018 23:00,10786,10004
02.01.2018 23:00 - 02.01.2018 23:15,10869,10008
02.01.2018 23:15 - 02.01.2018 23:30,10777,9925
02.01.2018 23:30 - 02.01.2018 23:45,10604,9784
02.01.2018 23:45 - 03.01.2018 00:00,10445,9696
03.01.2018 00:00 - 03.01.2018 00:15,10500,9475
03.01.2018 00:15 - 03.01.2018 00:30,10326,9341
03.01.2018 00:30 - 03.01.2018 00:45,10142,9153
03.01.2018 00:45 - 03.01.2018 01:00,9960,8963
03.01.2018 01:00 - 03.01.2018 01:15,9565,8900
03.01.2018 01:15 - 03.01.2018 01:30,9405,8750
03.01.2018 01:30 - 03.01.2018 01:45,9302,8598
03.01.2018 01:45 - 03.01.2018 02:00,9171,8561
03.01.2018 02:00 - 03.01.2018 02:15,8968,8548
03.01.2018 02:15 - 03.01.2018 02:30,8882,8564
03.01.2018 02:30 - 03.01.2018 02:45,8808,8700
03.01.2018 02:45 - 03.01.2018 03:00,8751,8451
03.01.2018 03:00 - 03.01.2018 03:15,8774,7976
03.01.2018 03:15 - 03.01.2018 03:30,8686,7829
03.01.2018 03:30 - 03.01.2018 03:45,8642,8143
03.01.2018 03:45 - 03.01.2018 04:00,8641,8202
03.01.2018 04:00 - 03.01.2018 04:15,8786,8314
03.01.2018 04:15 - 03.01.2018 04:30,8748,8336
03.01.2018 04:30 - 03.01.2018 04:45,8803,8500
03.01.2018 04:45 - 03.01.2018 05:00,8859,8448
03.01.2018 05:00 - 03.01.2018 05:15,9037,8424
03.01.2018 05:15 - 03.01.2018 05:30,9139,8810
03.01.2018 05:30 - 03.01.2018 05:45,9268,8863
03.01.2018 05:45 - 03.01.2018 06:00,9446,8585
03.01.2018 06:00 - 03.01.2018 06:15,9685,8751
03.01.2018 06:15 - 03.01.2018 06:30,9895,9046
03.01.2018 06:30 - 03.01.2018 06:45,10117,9377
03.01.2018 06:45 - 03.01.2018 07:00,10294,9644
03.01.2018 07:00 - 03.01.2018 07:15,10464,9803
03.01.2018 07:15 - 03.01.2018 07:30,10603,9900
03.01.2018 07:30 - 03.01.2018 07:45,10838,10315
03.01.2018 07:45 - 03.01.2018 08:00,10979,10455
03.01.2018 08:00 - 03.01.2018 08:15,11349,10550
03.01.2018 08:15 - 03.01.2018 08:30,11491,10630
03.01.2018 08:30 - 03.01.2018 08:45,11557,10815
03.01.2018 08:45 - 03.01.2018 09:00,11548,11019
03.01.2018 09:00 - 03.01.2018 09:15,11694,10982
03.01.2018 09:15 - 03.01.2018 09:30,11774,11030
03.01.2018 09:30 - 03.01.2018 09:45,11822,10958
03.01.2018 09:45 - 03.01.2018 10:00,11860,11026
03.01.2018 10:00 - 03.01.2018 10:15,11999,11091
03.01.2018 10:15 - 03.01.2018 10:30,12006,11166
03.01.2018 10:30 - 03.01.2018 10:45,12009,11196
03.01.2018 10:45 - 03.01.2018 11:00,12052,11274
03.01.2018 11:00 - 03.01.2018 11:15,12124,11245
03.01.2018 11:15 - 03.01.2018 11:30,12169,11311
03.01.2018 11:30 - 03.01.2018 11:45,12212,11439
03.01.2018 11:45 - 03.01.2018 12:00,12218,11481
03.01.2018 12:00 - 03.01.2018 12:15,12013,11355
03.01.2018 12:15 - 03.01.2018 12:30,11946,11249
03.01.2018 12:30 - 03.01.2018 12:45,11906,11211
03.01.2018 12:45 - 03.01.2018 13:00,11871,11121
03.01.2018 13:00 - 03.01.2018 13:15,11864,11343
03.01.2018 13:15 - 03.01.2018 13:30,11862,11292
03.01.2018 13:30 - 03.01.2018 13:45,11828,11316
03.01.2018 13:45 - 03.01.2018 14:00,11783,11339
03.01.2018 14:00 - 03.01.2018 14:15,11933,11302
03.01.2018 14:15 - 03.01.2018 14:30,11911,11316
03.01.2018 14:30 - 03.01.2018 14:45,11896,11207
03.01.2018 14:45 - 03.01.2018 15:00,11870,11212
03.01.2018 15:00 - 03.01.2018 15:15,11922,11276
03.01.2018 15:15 - 03.01.2018 15:30,11873,11209
03.01.2018 15:30 - 03.01.2018 15:45,11858,11200
03.01.2018 15:45 - 03.01.2018 16:00,11869,11238
03.01.2018 16:00 - 03.01.2018 16:15,11727,11177
03.01.2018 16:15 - 03.01.2018 16:30,11793,11207
03.01.2018 16:30 - 03.01.2018 16:45,11897,11279
03.01.2018 16:45 - 03.01.2018 17:00,12089,11391
03.01.2018 17:00 - 03.01.2018 17:15,12469,11533
03.01.2018 17:15 - 03.01.2018 17:30,12589,11692
03.01.2018 17:30 - 03.01.2018 17:45,12672,11851
03.01.2018 17:45 - 03.01.2018 18:00,12714,11976
03.01.2018 18:00 - 03.01.2018 18:15,12854,11922
03.01.2018 18:15 - 03.01.2018 18:30,12762,11808
03.01.2018 18:30 - 03.01.2018 18:45,12695,11713
03.01.2018 18:45 - 03.01.2018 19:00,12606,11646
03.01.2018 19:00 - 03.01.2018 19:15,12441,11506
03.01.2018 19:15 - 03.01.2018 19:30,12281,11366
03.01.2018 19:30 - 03.01.2018 19:45,12156,11224
03.01.2018 19:45 - 03.01.2018 20:00,11971,11085
03.01.2018 20:00 - 03.01.2018 20:15,11649,10960
03.01.2018 20:15 - 03.01.2018 20:30,11498,10722
03.01.2018 20:30 - 03.01.2018 20:45,11350,10665
03.01.2018 20:45 - 03.01.2018 21:00,11241,10495
03.01.2018 21:00 - 03.01.2018 21:15,10945,10385
03.01.2018 21:15 - 03.01.2018 21:30,10846,10303
03.01.2018 21:30 - 03.01.2018 21:45,10720,10197
03.01.2018 21:45 - 03.01.2018 22:00,10647,10049
03.01.2018 22:00 - 03.01.2018 22:15,10760,10195
03.01.2018 22:15 - 03.01.2018 22:30,10920,10332
03.01.2018 22:30 - 03.01.2018 22:45,10962,10367
03.01.2018 22:45 - 03.01.2018 23:00,10945,10301
03.01.2018 23:00 - 03.01.2018 23:15,11219,10417
03.01.2018 23:15 - 03.01.2018 23:30,11124,10312
03.01.2018 23:30 - 03.01.2018 23:45,10946,10184
03.01.2018 23:45 - 04.01.2018 00:00,10782,10076
04.01.2018 00:00 - 04.01.2018 00:15,10624,10011
04.01.2018 00:15 - 04.01.2018 00:30,10452,9886
04.01.2018 00:30 - 04.01.2018 00:45,10262,9752
04.01.2018 00:45 - 04.01.2018 01:00,10073,9670
04.01.2018 01:00 - 04.01.2018 01:15,9708,9546
04.01.2018 01:15 - 04.01.2018 01:30,9544,9403
04.01.2018 01:30 - 04.01.2018 01:45,9426,9227
04.01.2018 01:45 - 04.01.2018 02:00,9293,9069
04.01.2018 02:00 - 04.01.2018 02:15,9193,9019
04.01.2018 02:15 - 04.01.2018 02:30,9107,9048
04.01.2018 02:30 - 04.01.2018 02:45,9033,8979
04.01.2018 02:45 - 04.01.2018 03:00,8960,8953
04.01.2018 03:00 - 04.01.2018 03:15,8940,8937
04.01.2018 03:15 - 04.01.2018 03:30,8842,8830
04.01.2018 03:30 - 04.01.2018 03:45,8823,8754
04.01.2018 03:45 - 04.01.2018 04:00,8816,8814
04.01.2018 04:00 - 04.01.2018 04:15,8862,8897
04.01.2018 04:15 - 04.01.2018 04:30,8844,8863
04.01.2018 04:30 - 04.01.2018 04:45,8904,8891
04.01.2018 04:45 - 04.01.2018 05:00,8968,8906
04.01.2018 05:00 - 04.01.2018 05:15,9047,8986
04.01.2018 05:15 - 04.01.2018 05:30,9151,9086
04.01.2018 05:30 - 04.01.2018 05:45,9272,9192
04.01.2018 05:45 - 04.01.2018 06:00,9447,9364
04.01.2018 06:00 - 04.01.2018 06:15,9736,9735
04.01.2018 06:15 - 04.01.2018 06:30,9947,9990
04.01.2018 06:30 - 04.01.2018 06:45,10177,10083
04.01.2018 06:45 - 04.01.2018 07:00,10362,10271
04.01.2018 07:00 - 04.01.2018 07:15,10512,10422
04.01.2018 07:15 - 04.01.2018 07:30,10669,10648
04.01.2018 07:30 - 04.01.2018 07:45,10906,10892
04.01.2018 07:45 - 04.01.2018 08:00,11046,11057
04.01.2018 08:00 - 04.01.2018 08:15,11324,11228
04.01.2018 08:15 - 04.01.2018 08:30,11496,11445
04.01.2018 08:30 - 04.01.2018 08:45,11582,11773
04.01.2018 08:45 - 04.01.2018 09:00,11594,11731
04.01.2018 09:00 - 04.01.2018 09:15,11702,11955
04.01.2018 09:15 - 04.01.2018 09:30,11779,11966
04.01.2018 09:30 - 04.01.2018 09:45,11828,12036
04.01.2018 09:45 - 04.01.2018 10:00,11869,12084
04.01.2018 10:00 - 04.01.2018 10:15,11985,12129
04.01.2018 10:15 - 04.01.2018 10:30,11999,12181
04.01.2018 10:30 - 04.01.2018 10:45,12031,12085
04.01.2018 10:45 - 04.01.2018 11:00,12100,12046
04.01.2018 11:00 - 04.01.2018 11:15,12084,12016
04.01.2018 11:15 - 04.01.2018 11:30,12122,12161
04.01.2018 11:30 - 04.01.2018 11:45,12168,12152
04.01.2018 11:45 - 04.01.2018 12:00,12192,12106
04.01.2018 12:00 - 04.01.2018 12:15,11994,12018
04.01.2018 12:15 - 04.01.2018 12:30,11928,11898
04.01.2018 12:30 - 04.01.2018 12:45,11897,11858
04.01.2018 12:45 - 04.01.2018 13:00,11869,11801
04.01.2018 13:00 - 04.01.2018 13:15,11875,11923
04.01.2018 13:15 - 04.01.2018 13:30,11865,11863
04.01.2018 13:30 - 04.01.2018 13:45,11833,11835
04.01.2018 13:45 - 04.01.2018 14:00,11771,11717
04.01.2018 14:00 - 04.01.2018 14:15,11737,11563
04.01.2018 14:15 - 04.01.2018 14:30,11711,11565
04.01.2018 14:30 - 04.01.2018 14:45,11699,11535
04.01.2018 14:45 - 04.01.2018 15:00,11670,11528
04.01.2018 15:00 - 04.01.2018 15:15,11708,11583
04.01.2018 15:15 - 04.01.2018 15:30,11670,11575
04.01.2018 15:30 - 04.01.2018 15:45,11660,11537
04.01.2018 15:45 - 04.01.2018 16:00,11663,11500
04.01.2018 16:00 - 04.01.2018 16:15,11577,11477
04.01.2018 16:15 - 04.01.2018 16:30,11634,11401
04.01.2018 16:30 - 04.01.2018 16:45,11728,11483
04.01.2018 16:45 - 04.01.2018 17:00,11906,11490
04.01.2018 17:00 - 04.01.2018 17:15,12229,11696
04.01.2018 17:15 - 04.01.2018 17:30,12348,11904
04.01.2018 17:30 - 04.01.2018 17:45,12451,12033
04.01.2018 17:45 - 04.01.2018 18:00,12508,12136
04.01.2018 18:00 - 04.01.2018 18:15,12609,12040
04.01.2018 18:15 - 04.01.2018 18:30,12527,12022
04.01.2018 18:30 - 04.01.2018 18:45,12451,11996
04.01.2018 18:45 - 04.01.2018 19:00,12370,11829
04.01.2018 19:00 - 04.01.2018 19:15,12272,11690
04.01.2018 19:15 - 04.01.2018 19:30,12100,11557
04.01.2018 19:30 - 04.01.2018 19:45,11987,11461
04.01.2018 19:45 - 04.01.2018 20:00,11821,11260
04.01.2018 20:00 - 04.01.2018 20:15,11579,11133
04.01.2018 20:15 - 04.01.2018 20:30,11418,10911
04.01.2018 20:30 - 04.01.2018 20:45,11282,10744
04.01.2018 20:45 - 04.01.2018 21:00,11183,10673
04.01.2018 21:00 - 04.01.2018 21:15,11009,10634
04.01.2018 21:15 - 04.01.2018 21:30,10896,10551
04.01.2018 21:30 - 04.01.2018 21:45,10773,10499
04.01.2018 21:45 - 04.01.2018 22:00,10706,10284
04.01.2018 22:00 - 04.01.2018 22:15,10996,10389
04.01.2018 22:15 - 04.01.2018 22:30,11156,10648
04.01.2018 22:30 - 04.01.2018 22:45,11183,10729
04.01.2018 22:45 - 04.01.2018 23:00,11161,10649
04.01.2018 23:00 - 04.01.2018 23:15,11324,10727
04.01.2018 23:15 - 04.01.2018 23:30,11235,10539
04.01.2018 23:30 - 04.01.2018 23:45,11055,10379
04.01.2018 23:45 - 05.01.2018 00:00,10906,10285
05.01.2018 00:00 - 05.01.2018 00:15,10493,10110
05.01.2018 00:15 - 05.01.2018 00:30,10326,9985
05.01.2018 00:30 - 05.01.2018 00:45,10145,9877
05.01.2018 00:45 - 05.01.2018 01:00,9971,9745
05.01.2018 01:00 - 05.01.2018 01:15,9828,9742
05.01.2018 01:15 - 05.01.2018 01:30,9667,9262
05.01.2018 01:30 - 05.01.2018 01:45,9534,9134
05.01.2018 01:45 - 05.01.2018 02:00,9409,9238
05.01.2018 02:00 - 05.01.2018 02:15,9312,8986
05.01.2018 02:15 - 05.01.2018 02:30,9246,9079
05.01.2018 02:30 - 05.01.2018 02:45,9209,9146
05.01.2018 02:45 - 05.01.2018 03:00,9096,9063
05.01.2018 03:00 - 05.01.2018 03:15,9011,8902
05.01.2018 03:15 - 05.01.2018 03:30,8899,8718
05.01.2018 03:30 - 05.01.2018 03:45,8949,8634
05.01.2018 03:45 - 05.01.2018 04:00,8958,8783
05.01.2018 04:00 - 05.01.2018 04:15,8909,8877
05.01.2018 04:15 - 05.01.2018 04:30,8904,8818
05.01.2018 04:30 - 05.01.2018 04:45,8988,8790
