Time (CET),Day-ahead Total Load Forecast [MW] - Belgium (BE),Actual Total Load [MW] - Belgium (BE)
17.08.2018 08:00 - 17.08.2018 08:15,10420,10213
17.08.2018 08:15 - 17.08.2018 08:30,10543,10303
17.08.2018 08:30 - 17.08.2018 08:45,10700,10273
17.08.2018 08:45 - 17.08.2018 09:00,10777,10364
17.08.2018 09:00 - 17.08.2018 09:15,10845,10468
17.08.2018 09:15 - 17.08.2018 09:30,10913,10467
17.08.2018 09:30 - 17.08.2018 09:45,11029,10630
17.08.2018 09:45 - 17.08.2018 10:00,11038,10656
17.08.2018 10:00 - 17.08.2018 10:15,11104,10664
17.08.2018 10:15 - 17.08.2018 10:30,11120,10753
17.08.2018 10:30 - 17.08.2018 10:45,11164,10785
17.08.2018 10:45 - 17.08.2018 11:00,11222,10808
17.08.2018 11:00 - 17.08.2018 11:15,11215,10964
17.08.2018 11:15 - 17.08.2018 11:30,11250,10897
17.08.2018 11:30 - 17.08.2018 11:45,11344,11036
17.08.2018 11:45 - 17.08.2018 12:00,11336,11054
17.08.2018 12:00 - 17.08.2018 12:15,11212,10906
17.08.2018 12:15 - 17.08.2018 12:30,11110,10818
17.08.2018 12:30 - 17.08.2018 12:45,11092,10843
17.08.2018 12:45 - 17.08.2018 13:00,11098,10757
17.08.2018 13:00 - 17.08.2018 13:15,11051,10813
17.08.2018 13:15 - 17.08.2018 13:30,11041,10767
17.08.2018 13:30 - 17.08.2018 13:45,11035,10549
17.08.2018 13:45 - 17.08.2018 14:00,11013,10524
17.08.2018 14:00 - 17.08.2018 14:15,10922,10377
17.08.2018 14:15 - 17.08.2018 14:30,10927,10362
17.08.2018 14:30 - 17.08.2018 14:45,10905,10382
17.08.2018 14:45 - 17.08.2018 15:00,10858,10345
17.08.2018 15:00 - 17.08.2018 15:15,10872,10252
17.08.2018 15:15 - 17.08.2018 15:30,10862,10203
17.08.2018 15:30 - 17.08.2018 15:45,10820,10323
17.08.2018 15:45 - 17.08.2018 16:00,10779,10195
17.08.2018 16:00 - 17.08.2018 16:15,10752,10119
17.08.2018 16:15 - 17.08.2018 16:30,10729,10097
17.08.2018 16:30 - 17.08.2018 16:45,10719,10031
17.08.2018 16:45 - 17.08.2018 17:00,10712,10194
17.08.2018 17:00 - 17.08.2018 17:15,10619,10100
17.08.2018 17:15 - 17.08.2018 17:30,10623,10132
17.08.2018 17:30 - 17.08.2018 17:45,10650,10156
17.08.2018 17:45 - 17.08.2018 18:00,10655,10181
17.08.2018 18:00 - 17.08.2018 18:15,10477,10132
17.08.2018 18:15 - 17.08.2018 18:30,10398,10032
17.08.2018 18:30 - 17.08.2018 18:45,10391,10018
17.08.2018 18:45 - 17.08.2018 19:00,10345,9979
17.08.2018 19:00 - 17.08.2018 19:15,10220,9857
17.08.2018 19:15 - 17.08.2018 19:30,10132,9732
17.08.2018 19:30 - 17.08.2018 19:45,10063,9686
17.08.2018 19:45 - 17.08.2018 20:00,9995,9558
17.08.2018 20:00 - 17.08.2018 20:15,9936,9559
17.08.2018 20:15 - 17.08.2018 20:30,9847,9388
17.08.2018 20:30 - 17.08.2018 20:45,9776,9432
17.08.2018 20:45 - 17.08.2018 21:00,9640,9377
17.08.2018 21:00 - 17.08.2018 21:15,9520,9413
17.08.2018 21:15 - 17.08.2018 21:30,9575,9543
17.08.2018 21:30 - 17.08.2018 21:45,9556,9610
17.08.2018 21:45 - 17.08.2018 22:00,9592,9435
17.08.2018 22:00 - 17.08.2018 22:15,9704,9476
17.08.2018 22:15 - 17.08.2018 22:30,9766,9409
17.08.2018 22:30 - 17.08.2018 22:45,9737,9262
17.08.2018 22:45 - 17.08.2018 23:00,9642,9345
17.08.2018 23:00 - 17.08.2018 23:15,9627,9216
17.08.2018 23:15 - 17.08.2018 23:30,9459,9185
17.08.2018 23:30 - 17.08.2018 23:45,9274,8930
17.08.2018 23:45 - 18.08.2018 00:00,9108,8786
18.08.2018 00:00 - 18.08.2018 00:15,8818,8647
18.08.2018 00:15 - 18.08.2018 00:30,8743,8498
18.08.2018 00:30 - 18.08.2018 00:45,8659,8487
18.08.2018 00:45 - 18.08.2018 01:00,8547,8375
18.08.2018 01:00 - 18.08.2018 01:15,8516,8255
18.08.2018 01:15 - 18.08.2018 01:30,8452,8168
18.08.2018 01:30 - 18.08.2018 01:45,8344,8171
18.08.2018 01:45 - 18.08.2018 02:00,8248,8098
18.08.2018 02:00 - 18.08.2018 02:15,8203,8008
18.08.2018 02:15 - 18.08.2018 02:30,8170,7823
18.08.2018 02:30 - 18.08.2018 02:45,8136,7899
18.08.2018 02:45 - 18.08.2018 03:00,8060,7892
18.08.2018 03:00 - 18.08.2018 03:15,8024,7776
18.08.2018 03:15 - 18.08.2018 03:30,7935,7765
18.08.2018 03:30 - 18.08.2018 03:45,7963,7675
18.08.2018 03:45 - 18.08.2018 04:00,7960,7703
18.08.2018 04:00 - 18.08.2018 04:15,7895,7690
18.08.2018 04:15 - 18.08.2018 04:30,7920,7642
18.08.2018 04:30 - 18.08.2018 04:45,7818,7659
18.08.2018 04:45 - 18.08.2018 05:00,7813,7640
18.08.2018 05:00 - 18.08.2018 05:15,7780,7644
18.08.2018 05:15 - 18.08.2018 05:30,7793,7635
18.08.2018 05:30 - 18.08.2018 05:45,7809,7609
18.08.2018 05:45 - 18.08.2018 06:00,7735,7734
18.08.2018 06:00 - 18.08.2018 06:15,7944,7991
18.08.2018 06:15 - 18.08.2018 06:30,7957,7851
18.08.2018 06:30 - 18.08.2018 06:45,7980,7805
18.08.2018 06:45 - 18.08.2018 07:00,8011,7836
18.08.2018 07:00 - 18.08.2018 07:15,8328,7933
18.08.2018 07:15 - 18.08.2018 07:30,8412,8033
18.08.2018 07:30 - 18.08.2018 07:45,8494,8152
18.08.2018 07:45 - 18.08.2018 08:00,8538,8236
18.08.2018 08:00 - 18.08.2018 08:15,8877,8392
18.08.2018 08:15 - 18.08.2018 08:30,9024,8500
18.08.2018 08:30 - 18.08.2018 08:45,9106,8512
18.08.2018 08:45 - 18.08.2018 09:00,9271,8721
18.08.2018 09:00 - 18.08.2018 09:15,9429,9014
18.08.2018 09:15 - 18.08.2018 09:30,9492,9124
18.08.2018 09:30 - 18.08.2018 09:45,9565,9107
18.08.2018 09:45 - 18.08.2018 10:00,9656,9209
18.08.2018 10:00 - 18.08.2018 10:15,9757,9361
18.08.2018 10:15 - 18.08.2018 10:30,9709,9329
18.08.2018 10:30 - 18.08.2018 10:45,9729,9265
18.08.2018 10:45 - 18.08.2018 11:00,9764,9353
18.08.2018 11:00 - 18.08.2018 11:15,9728,9338
18.08.2018 11:15 - 18.08.2018 11:30,9734,9374
18.08.2018 11:30 - 18.08.2018 11:45,9853,9440
18.08.2018 11:45 - 18.08.2018 12:00,9910,9504
18.08.2018 12:00 - 18.08.2018 12:15,9833,9428
18.08.2018 12:15 - 18.08.2018 12:30,9690,9369
18.08.2018 12:30 - 18.08.2018 12:45,9708,9342
18.08.2018 12:45 - 18.08.2018 13:00,9651,9469
18.08.2018 13:00 - 18.08.2018 13:15,9558,9380
18.08.2018 13:15 - 18.08.2018 13:30,9512,9339
18.08.2018 13:30 - 18.08.2018 13:45,9439,9406
18.08.2018 13:45 - 18.08.2018 14:00,9397,9307
18.08.2018 14:00 - 18.08.2018 14:15,9242,9248
18.08.2018 14:15 - 18.08.2018 14:30,9258,9153
18.08.2018 14:30 - 18.08.2018 14:45,9176,9252
18.08.2018 14:45 - 18.08.2018 15:00,9187,9110
18.08.2018 15:00 - 18.08.2018 15:15,9238,9041
18.08.2018 15:15 - 18.08.2018 15:30,9227,8955
18.08.2018 15:30 - 18.08.2018 15:45,9160,8976
18.08.2018 15:45 - 18.08.2018 16:00,9137,8946
18.08.2018 16:00 - 18.08.2018 16:15,9152,8841
18.08.2018 16:15 - 18.08.2018 16:30,9161,9036
18.08.2018 16:30 - 18.08.2018 16:45,9174,9013
18.08.2018 16:45 - 18.08.2018 17:00,9149,9079
18.08.2018 17:00 - 18.08.2018 17:15,9075,9035
18.08.2018 17:15 - 18.08.2018 17:30,9053,9141
18.08.2018 17:30 - 18.08.2018 17:45,9091,9170
18.08.2018 17:45 - 18.08.2018 18:00,9172,9122
18.08.2018 18:00 - 18.08.2018 18:15,9115,9194
18.08.2018 18:15 - 18.08.2018 18:30,9095,9165
18.08.2018 18:30 - 18.08.2018 18:45,9059,9095
18.08.2018 18:45 - 18.08.2018 19:00,9091,9104
18.08.2018 19:00 - 18.08.2018 19:15,9156,9144
18.08.2018 19:15 - 18.08.2018 19:30,9087,9073
18.08.2018 19:30 - 18.08.2018 19:45,9041,9027
18.08.2018 19:45 - 18.08.2018 20:00,8992,9024
18.08.2018 20:00 - 18.08.2018 20:15,9061,8920
18.08.2018 20:15 - 18.08.2018 20:30,8946,8965
18.08.2018 20:30 - 18.08.2018 20:45,8914,8970
18.08.2018 20:45 - 18.08.2018 21:00,8912,8921
18.08.2018 21:00 - 18.08.2018 21:15,8889,8928
18.08.2018 21:15 - 18.08.2018 21:30,8898,8988
18.08.2018 21:30 - 18.08.2018 21:45,9029,8982
18.08.2018 21:45 - 18.08.2018 22:00,9063,8923
18.08.2018 22:00 - 18.08.2018 22:15,8960,8864
18.08.2018 22:15 - 18.08.2018 22:30,8975,8832
18.08.2018 22:30 - 18.08.2018 22:45,8941,8604
18.08.2018 22:45 - 18.08.2018 23:00,8859,8563
18.08.2018 23:00 - 18.08.2018 23:15,8682,8639
18.08.2018 23:15 - 18.08.2018 23:30,8573,8503
18.08.2018 23:30 - 18.08.2018 23:45,8433,8305
18.08.2018 23:45 - 19.08.2018 00:00,8328,8187
19.08.2018 00:00 - 19.08.2018 00:15,8178,8066
19.08.2018 00:15 - 19.08.2018 00:30,8047,7879
19.08.2018 00:30 - 19.08.2018 00:45,7989,7972
19.08.2018 00:45 - 19.08.2018 01:00,7897,7865
19.08.2018 01:00 - 19.08.2018 01:15,7856,7796
19.08.2018 01:15 - 19.08.2018 01:30,7760,7692
19.08.2018 01:30 - 19.08.2018 01:45,7716,7558
19.08.2018 01:45 - 19.08.2018 02:00,7603,7562
19.08.2018 02:00 - 19.08.2018 02:15,7471,7457
19.08.2018 02:15 - 19.08.2018 02:30,7421,7476
19.08.2018 02:30 - 19.08.2018 02:45,7362,7451
19.08.2018 02:45 - 19.08.2018 03:00,7323,7283
19.08.2018 03:00 - 19.08.2018 03:15,7340,7333
19.08.2018 03:15 - 19.08.2018 03:30,7287,7367
19.08.2018 03:30 - 19.08.2018 03:45,7240,7308
19.08.2018 03:45 - 19.08.2018 04:00,7246,7188
19.08.2018 04:00 - 19.08.2018 04:15,7244,7192
19.08.2018 04:15 - 19.08.2018 04:30,7242,7181
19.08.2018 04:30 - 19.08.2018 04:45,7233,7216
19.08.2018 04:45 - 19.08.2018 05:00,7205,7104
19.08.2018 05:00 - 19.08.2018 05:15,7239,7244
19.08.2018 05:15 - 19.08.2018 05:30,7251,7271
19.08.2018 05:30 - 19.08.2018 05:45,7202,7289
19.08.2018 05:45 - 19.08.2018 06:00,7188,7256
19.08.2018 06:00 - 19.08.2018 06:15,7240,7314
19.08.2018 06:15 - 19.08.2018 06:30,7252,7358
19.08.2018 06:30 - 19.08.2018 06:45,7275,7325
19.08.2018 06:45 - 19.08.2018 07:00,7374,7354
19.08.2018 07:00 - 19.08.2018 07:15,7355,7502
19.08.2018 07:15 - 19.08.2018 07:30,7428,7490
19.08.2018 07:30 - 19.08.2018 07:45,7542,7611
19.08.2018 07:45 - 19.08.2018 08:00,7595,7819
19.08.2018 08:00 - 19.08.2018 08:15,7691,7853
19.08.2018 08:15 - 19.08.2018 08:30,7852,7955
19.08.2018 08:30 - 19.08.2018 08:45,7931,8074
19.08.2018 08:45 - 19.08.2018 09:00,8030,8150
19.08.2018 09:00 - 19.08.2018 09:15,8235,8315
19.08.2018 09:15 - 19.08.2018 09:30,8314,8296
19.08.2018 09:30 - 19.08.2018 09:45,8342,8415
19.08.2018 09:45 - 19.08.2018 10:00,8417,8498
19.08.2018 10:00 - 19.08.2018 10:15,8567,8570
19.08.2018 10:15 - 19.08.2018 10:30,8632,8621
19.08.2018 10:30 - 19.08.2018 10:45,8626,8698
19.08.2018 10:45 - 19.08.2018 11:00,8672,8690
19.08.2018 11:00 - 19.08.2018 11:15,8751,8777
19.08.2018 11:15 - 19.08.2018 11:30,8817,8713
19.08.2018 11:30 - 19.08.2018 11:45,8873,8881
19.08.2018 11:45 - 19.08.2018 12:00,8909,9041
19.08.2018 12:00 - 19.08.2018 12:15,8880,8944
19.08.2018 12:15 - 19.08.2018 12:30,8877,8940
19.08.2018 12:30 - 19.08.2018 12:45,8883,8874
19.08.2018 12:45 - 19.08.2018 13:00,8798,8799
19.08.2018 13:00 - 19.08.2018 13:15,8704,8712
19.08.2018 13:15 - 19.08.2018 13:30,8655,8658
19.08.2018 13:30 - 19.08.2018 13:45,8603,8590
19.08.2018 13:45 - 19.08.2018 14:00,8571,8829
19.08.2018 14:00 - 19.08.2018 14:15,8561,8454
19.08.2018 14:15 - 19.08.2018 14:30,8505,8316
19.08.2018 14:30 - 19.08.2018 14:45,8556,8246
19.08.2018 14:45 - 19.08.2018 15:00,8487,8255
19.08.2018 15:00 - 19.08.2018 15:15,8445,8194
19.08.2018 15:15 - 19.08.2018 15:30,8412,8334
19.08.2018 15:30 - 19.08.2018 15:45,8375,8308
19.08.2018 15:45 - 19.08.2018 16:00,8408,8163
19.08.2018 16:00 - 19.08.2018 16:15,8324,8025
19.08.2018 16:15 - 19.08.2018 16:30,8320,8167
19.08.2018 16:30 - 19.08.2018 16:45,8413,8221
19.08.2018 16:45 - 19.08.2018 17:00,8458,8254
19.08.2018 17:00 - 19.08.2018 17:15,8587,8336
19.08.2018 17:15 - 19.08.2018 17:30,8574,8429
19.08.2018 17:30 - 19.08.2018 17:45,8638,8491
19.08.2018 17:45 - 19.08.2018 18:00,8665,8661
19.08.2018 18:00 - 19.08.2018 18:15,8765,8614
19.08.2018 18:15 - 19.08.2018 18:30,8801,8721
19.08.2018 18:30 - 19.08.2018 18:45,8849,8705
19.08.2018 18:45 - 19.08.2018 19:00,8863,8784
19.08.2018 19:00 - 19.08.2018 19:15,8967,8793
19.08.2018 19:15 - 19.08.2018 19:30,8927,8906
19.08.2018 19:30 - 19.08.2018 19:45,8893,8894
19.08.2018 19:45 - 19.08.2018 20:00,8877,8868
19.08.2018 20:00 - 19.08.2018 20:15,8913,8838
19.08.2018 20:15 - 19.08.2018 20:30,8917,8848
19.08.2018 20:30 - 19.08.2018 20:45,8920,8898
19.08.2018 20:45 - 19.08.2018 21:00,8886,8844
19.08.2018 21:00 - 19.08.2018 21:15,8929,9030
19.08.2018 21:15 - 19.08.2018 21:30,8947,9164
19.08.2018 21:30 - 19.08.2018 21:45,9003,9169
19.08.2018 21:45 - 19.08.2018 22:00,9067,9014
19.08.2018 22:00 - 19.08.2018 22:15,8983,9005
19.08.2018 22:15 - 19.08.2018 22:30,9012,8980
19.08.2018 22:30 - 19.08.2018 22:45,8965,8860
19.08.2018 22:45 - 19.08.2018 23:00,8872,8905
19.08.2018 23:00 - 19.08.2018 23:15,8846,8806
19.08.2018 23:15 - 19.08.2018 23:30,8739,8701
19.08.2018 23:30 - 19.08.2018 23:45,8605,8537
19.08.2018 23:45 - 20.08.2018 00:00,8448,8491
20.08.2018 00:00 - 20.08.2018 00:15,8217,8305
20.08.2018 00:15 - 20.08.2018 00:30,8111,8302
20.08.2018 00:30 - 20.08.2018 00:45,8057,8164
20.08.2018 00:45 - 20.08.2018 01:00,7921,8163
20.08.2018 01:00 - 20.08.2018 01:15,7892,8174
20.08.2018 01:15 - 20.08.2018 01:30,7817,8088
20.08.2018 01:30 - 20.08.2018 01:45,7738,7933
20.08.2018 01:45 - 20.08.2018 02:00,7632,7943
20.08.2018 02:00 - 20.08.2018 02:15,7693,7857
20.08.2018 02:15 - 20.08.2018 02:30,7644,7891
20.08.2018 02:30 - 20.08.2018 02:45,7624,7794
20.08.2018 02:45 - 20.08.2018 03:00,7621,7808
20.08.2018 03:00 - 20.08.2018 03:15,7544,7780
20.08.2018 03:15 - 20.08.2018 03:30,7559,7807
20.08.2018 03:30 - 20.08.2018 03:45,7484,7752
20.08.2018 03:45 - 20.08.2018 04:00,7529,7842
20.08.2018 04:00 - 20.08.2018 04:15,7578,7916
20.08.2018 04:15 - 20.08.2018 04:30,7608,7913
20.08.2018 04:30 - 20.08.2018 04:45,7610,7863
20.08.2018 04:45 - 20.08.2018 05:00,7711,7888
20.08.2018 05:00 - 20.08.2018 05:15,7907,8091
20.08.2018 05:15 - 20.08.2018 05:30,7964,8225
20.08.2018 05:30 - 20.08.2018 05:45,8016,8382
20.08.2018 05:45 - 20.08.2018 06:00,8104,8515
20.08.2018 06:00 - 20.08.2018 06:15,8640,8811
20.08.2018 06:15 - 20.08.2018 06:30,8772,9105
20.08.2018 06:30 - 20.08.2018 06:45,8964,9218
20.08.2018 06:45 - 20.08.2018 07:00,9123,9372
20.08.2018 07:00 - 20.08.2018 07:15,9501,9679
20.08.2018 07:15 - 20.08.2018 07:30,9692,9884
20.08.2018 07:30 - 20.08.2018 07:45,9878,9958
20.08.2018 07:45 - 20.08.2018 08:00,10077,10092
20.08.2018 08:00 - 20.08.2018 08:15,10324,10415
20.08.2018 08:15 - 20.08.2018 08:30,10446,10482
20.08.2018 08:30 - 20.08.2018 08:45,10589,10611
20.08.2018 08:45 - 20.08.2018 09:00,10662,10804
20.08.2018 09:00 - 20.08.2018 09:15,10717,10946
20.08.2018 09:15 - 20.08.2018 09:30,10816,10970
20.08.2018 09:30 - 20.08.2018 09:45,10975,11022
20.08.2018 09:45 - 20.08.2018 10:00,11000,11121
20.08.2018 10:00 - 20.08.2018 10:15,11007,11233
20.08.2018 10:15 - 20.08.2018 10:30,11032,11208
20.08.2018 10:30 - 20.08.2018 10:45,11088,11299
20.08.2018 10:45 - 20.08.2018 11:00,11141,11300
20.08.2018 11:00 - 20.08.2018 11:15,11179,11324
20.08.2018 11:15 - 20.08.2018 11:30,11201,11406
20.08.2018 11:30 - 20.08.2018 11:45,11296,11443
20.08.2018 11:45 - 20.08.2018 12:00,11286,11501
20.08.2018 12:00 - 20.08.2018 12:15,11129,11335
20.08.2018 12:15 - 20.08.2018 12:30,11026,11248
20.08.2018 12:30 - 20.08.2018 12:45,11033,11237
20.08.2018 12:45 - 20.08.2018 13:00,11016,11268
20.08.2018 13:00 - 20.08.2018 13:15,11079,11220
20.08.2018 13:15 - 20.08.2018 13:30,11017,11213
20.08.2018 13:30 - 20.08.2018 13:45,11008,11350
20.08.2018 13:45 - 20.08.2018 14:00,10982,11276
20.08.2018 14:00 - 20.08.2018 14:15,10925,11134
20.08.2018 14:15 - 20.08.2018 14:30,10938,11141
20.08.2018 14:30 - 20.08.2018 14:45,10959,11196
20.08.2018 14:45 - 20.08.2018 15:00,10999,11089
20.08.2018 15:00 - 20.08.2018 15:15,10959,11164
20.08.2018 15:15 - 20.08.2018 15:30,10906,11170
20.08.2018 15:30 - 20.08.2018 15:45,10866,11111
20.08.2018 15:45 - 20.08.2018 16:00,10822,11086
20.08.2018 16:00 - 20.08.2018 16:15,10775,10973
20.08.2018 16:15 - 20.08.2018 16:30,10796,10886
20.08.2018 16:30 - 20.08.2018 16:45,10818,10832
20.08.2018 16:45 - 20.08.2018 17:00,10825,10864
20.08.2018 17:00 - 20.08.2018 17:15,10791,10900
20.08.2018 17:15 - 20.08.2018 17:30,10806,10914
20.08.2018 17:30 - 20.08.2018 17:45,10843,11033
20.08.2018 17:45 - 20.08.2018 18:00,10928,11027
20.08.2018 18:00 - 20.08.2018 18:15,10765,10921
20.08.2018 18:15 - 20.08.2018 18:30,10701,10930
20.08.2018 18:30 - 20.08.2018 18:45,10782,10883
20.08.2018 18:45 - 20.08.2018 19:00,10641,10841
20.08.2018 19:00 - 20.08.2018 19:15,10564,10729
20.08.2018 19:15 - 20.08.2018 19:30,10471,10701
20.08.2018 19:30 - 20.08.2018 19:45,10370,10644
20.08.2018 19:45 - 20.08.2018 20:00,10289,10472
20.08.2018 20:00 - 20.08.2018 20:15,10261,10461
20.08.2018 20:15 - 20.08.2018 20:30,10176,10306
20.08.2018 20:30 - 20.08.2018 20:45,10112,10283
20.08.2018 20:45 - 20.08.2018 21:00,9993,10274
20.08.2018 21:00 - 20.08.2018 21:15,9903,10288
20.08.2018 21:15 - 20.08.2018 21:30,9941,10214
20.08.2018 21:30 - 20.08.2018 21:45,9948,10120
20.08.2018 21:45 - 20.08.2018 22:00,9984,10011
20.08.2018 22:00 - 20.08.2018 22:15,9941,10064
20.08.2018 22:15 - 20.08.2018 22:30,9969,10009
20.08.2018 22:30 - 20.08.2018 22:45,9909,9981
20.08.2018 22:45 - 20.08.2018 23:00,9784,9669
20.08.2018 23:00 - 20.08.2018 23:15,9795,9537
20.08.2018 23:15 - 20.08.2018 23:30,9614,9413
20.08.2018 23:30 - 20.08.2018 23:45,9435,9396
20.08.2018 23:45 - 21.08.2018 00:00,9260,9233
21.08.2018 00:00 - 21.08.2018 00:15,9072,9083
21.08.2018 00:15 - 21.08.2018 00:30,8969,8944
21.08.2018 00:30 - 21.08.2018 00:45,8872,8832
21.08.2018 00:45 - 21.08.2018 01:00,8768,8687
21.08.2018 01:00 - 21.08.2018 01:15,8613,8593
21.08.2018 01:15 - 21.08.2018 01:30,8622,8518
21.08.2018 01:30 - 21.08.2018 01:45,8461,8460
21.08.2018 01:45 - 21.08.2018 02:00,8387,8446
21.08.2018 02:00 - 21.08.2018 02:15,8347,8373
21.08.2018 02:15 - 21.08.2018 02:30,8300,8230
21.08.2018 02:30 - 21.08.2018 02:45,8271,8291
21.08.2018 02:45 - 21.08.2018 03:00,8274,8301
21.08.2018 03:00 - 21.08.2018 03:15,8231,8236
21.08.2018 03:15 - 21.08.2018 03:30,8193,8204
21.08.2018 03:30 - 21.08.2018 03:45,8196,8270
21.08.2018 03:45 - 21.08.2018 04:00,8221,8194
21.08.2018 04:00 - 21.08.2018 04:15,8215,8246
21.08.2018 04:15 - 21.08.2018 04:30,8209,8314
21.08.2018 04:30 - 21.08.2018 04:45,8261,8306
21.08.2018 04:45 - 21.08.2018 05:00,8286,8362
21.08.2018 05:00 - 21.08.2018 05:15,8394,8457
21.08.2018 05:15 - 21.08.2018 05:30,8451,8591
21.08.2018 05:30 - 21.08.2018 05:45,8546,8624
21.08.2018 05:45 - 21.08.2018 06:00,8646,8803
21.08.2018 06:00 - 21.08.2018 06:15,9114,9061
21.08.2018 06:15 - 21.08.2018 06:30,9234,9208
21.08.2018 06:30 - 21.08.2018 06:45,9365,9361
21.08.2018 06:45 - 21.08.2018 07:00,9481,9518
21.08.2018 07:00 - 21.08.2018 07:15,9832,9709
21.08.2018 07:15 - 21.08.2018 07:30,10030,9923
21.08.2018 07:30 - 21.08.2018 07:45,10211,10108
21.08.2018 07:45 - 21.08.2018 08:00,10336,10260
21.08.2018 08:00 - 21.08.2018 08:15,10603,10398
21.08.2018 08:15 - 21.08.2018 08:30,10716,10485
21.08.2018 08:30 - 21.08.2018 08:45,10844,10588
21.08.2018 08:45 - 21.08.2018 09:00,10930,10619
21.08.2018 09:00 - 21.08.2018 09:15,10985,10697
21.08.2018 09:15 - 21.08.2018 09:30,11059,10802
21.08.2018 09:30 - 21.08.2018 09:45,11190,10863
21.08.2018 09:45 - 21.08.2018 10:00,11207,10874
21.08.2018 10:00 - 21.08.2018 10:15,11300,10900
21.08.2018 10:15 - 21.08.2018 10:30,11323,10918
21.08.2018 10:30 - 21.08.2018 10:45,11361,10951
21.08.2018 10:45 - 21.08.2018 11:00,11420,10937
21.08.2018 11:00 - 21.08.2018 11:15,11468,11040
21.08.2018 11:15 - 21.08.2018 11:30,11494,11149
21.08.2018 11:30 - 21.08.2018 11:45,11586,11210
21.08.2018 11:45 - 21.08.2018 12:00,11587,11257
21.08.2018 12:00 - 21.08.2018 12:15,11414,11152
21.08.2018 12:15 - 21.08.2018 12:30,11306,11024
21.08.2018 12:30 - 21.08.2018 12:45,11301,10997
21.08.2018 12:45 - 21.08.2018 13:00,11296,11010
21.08.2018 13:00 - 21.08.2018 13:15,11347,11082
21.08.2018 13:15 - 21.08.2018 13:30,11339,11086
21.08.2018 13:30 - 21.08.2018 13:45,11311,11046
21.08.2018 13:45 - 21.08.2018 14:00,11268,11076
21.08.2018 14:00 - 21.08.2018 14:15,11227,11002
21.08.2018 14:15 - 21.08.2018 14:30,11234,10935
21.08.2018 14:30 - 21.08.2018 14:45,11234,10898
21.08.2018 14:45 - 21.08.2018 15:00,11185,10890
21.08.2018 15:00 - 21.08.2018 15:15,11190,10809
21.08.2018 15:15 - 21.08.2018 15:30,11177,10840
21.08.2018 15:30 - 21.08.2018 15:45,11153,10826
21.08.2018 15:45 - 21.08.2018 16:00,11094,10767
21.08.2018 16:00 - 21.08.2018 16:15,11032,10731
21.08.2018 16:15 - 21.08.2018 16:30,11030,10739
21.08.2018 16:30 - 21.08.2018 16:45,10988,10632
21.08.2018 16:45 - 21.08.2018 17:00,11034,10683
21.08.2018 17:00 - 21.08.2018 17:15,11015,10759
21.08.2018 17:15 - 21.08.2018 17:30,11027,10797
21.08.2018 17:30 - 21.08.2018 17:45,11029,10879
21.08.2018 17:45 - 21.08.2018 18:00,11028,10869
21.08.2018 18:00 - 21.08.2018 18:15,10960,10756
21.08.2018 18:15 - 21.08.2018 18:30,10877,10790
21.08.2018 18:30 - 21.08.2018 18:45,10860,10716
21.08.2018 18:45 - 21.08.2018 19:00,10795,10692
21.08.2018 19:00 - 21.08.2018 19:15,10702,10576
21.08.2018 19:15 - 21.08.2018 19:30,10594,10389
21.08.2018 19:30 - 21.08.2018 19:45,10531,10345
21.08.2018 19:45 - 21.08.2018 20:00,10486,10327
21.08.2018 20:00 - 21.08.2018 20:15,10491,10261
21.08.2018 20:15 - 21.08.2018 20:30,10372,10186
21.08.2018 20:30 - 21.08.2018 20:45,10320,10109
21.08.2018 20:45 - 21.08.2018 21:00,10205,10083
21.08.2018 21:00 - 21.08.2018 21:15,10224,10111
21.08.2018 21:15 - 21.08.2018 21:30,10293,10279
21.08.2018 21:30 - 21.08.2018 21:45,10286,10212
21.08.2018 21:45 - 21.08.2018 22:00,10275,10059
21.08.2018 22:00 - 21.08.2018 22:15,10183,9986
21.08.2018 22:15 - 21.08.2018 22:30,10211,10000
21.08.2018 22:30 - 21.08.2018 22:45,10144,10034
21.08.2018 22:45 - 21.08.2018 23:00,10070,9896
21.08.2018 23:00 - 21.08.2018 23:15,9997,9678
21.08.2018 23:15 - 21.08.2018 23:30,9831,9571
21.08.2018 23:30 - 21.08.2018 23:45,9622,9367
21.08.2018 23:45 - 22.08.2018 00:00,9459,9152
22.08.2018 00:00 - 22.08.2018 00:15,8848,9120
22.08.2018 00:15 - 22.08.2018 00:30,8772,9039
22.08.2018 00:30 - 22.08.2018 00:45,8701,8894
22.08.2018 00:45 - 22.08.2018 01:00,8590,8845
22.08.2018 01:00 - 22.08.2018 01:15,8501,8818
22.08.2018 01:15 - 22.08.2018 01:30,8437,8605
22.08.2018 01:30 - 22.08.2018 01:45,8343,8583
22.08.2018 01:45 - 22.08.2018 02:00,8250,8627
22.08.2018 02:00 - 22.08.2018 02:15,8147,8483
22.08.2018 02:15 - 22.08.2018 02:30,8099,8466
22.08.2018 02:30 - 22.08.2018 02:45,8068,8390
22.08.2018 02:45 - 22.08.2018 03:00,8068,8370
22.08.2018 03:00 - 22.08.2018 03:15,8044,8277
22.08.2018 03:15 - 22.08.2018 03:30,8007,8375
22.08.2018 03:30 - 22.08.2018 03:45,8009,8352
22.08.2018 03:45 - 22.08.2018 04:00,8035,8337
