Time (CET),Day-ahead Total Load Forecast [MW] - Austria (AT),Actual Total Load [MW] - Austria (AT)
03.01.2018 17:00 - 03.01.2018 17:15,9994,9464
03.01.2018 17:15 - 03.01.2018 17:30,10022,9467
03.01.2018 17:30 - 03.01.2018 17:45,10026,9490
03.01.2018 17:45 - 03.01.2018 18:00,10000,9479
03.01.2018 18:00 - 03.01.2018 18:15,9918,9397
03.01.2018 18:15 - 03.01.2018 18:30,9838,9315
03.01.2018 18:30 - 03.01.2018 18:45,9777,9249
03.01.2018 18:45 - 03.01.2018 19:00,9700,9137
03.01.2018 19:00 - 03.01.2018 19:15,9513,8868
03.01.2018 19:15 - 03.01.2018 19:30,9366,8759
03.01.2018 19:30 - 03.01.2018 19:45,9242,8664
03.01.2018 19:45 - 03.01.2018 20:00,9116,8562
03.01.2018 20:00 - 03.01.2018 20:15,8963,8444
03.01.2018 20:15 - 03.01.2018 20:30,8802,8265
03.01.2018 20:30 - 03.01.2018 20:45,8673,8174
03.01.2018 20:45 - 03.01.2018 21:00,8526,8102
03.01.2018 21:00 - 03.01.2018 21:15,8382,7846
03.01.2018 21:15 - 03.01.2018 21:30,8220,7703
03.01.2018 21:30 - 03.01.2018 21:45,8083,7574
03.01.2018 21:45 - 03.01.2018 22:00,7973,7482
03.01.2018 22:00 - 03.01.2018 22:15,8143,7727
03.01.2018 22:15 - 03.01.2018 22:30,8083,7649
03.01.2018 22:30 - 03.01.2018 22:45,7918,7489
03.01.2018 22:45 - 03.01.2018 23:00,7782,7348
03.01.2018 23:00 - 03.01.2018 23:15,7703,7219
03.01.2018 23:15 - 03.01.2018 23:30,7525,7083
03.01.2018 23:30 - 03.01.2018 23:45,7387,7014
03.01.2018 23:45 - 04.01.2018 00:00,7265,6941
04.01.2018 00:00 - 04.01.2018 00:15,7164,6883
04.01.2018 00:15 - 04.01.2018 00:30,7048,6791
04.01.2018 00:30 - 04.01.2018 00:45,6950,6702
04.01.2018 00:45 - 04.01.2018 01:00,6846,6654
04.01.2018 01:00 - 04.01.2018 01:15,6848,6585
04.01.2018 01:15 - 04.01.2018 01:30,6769,6475
04.01.2018 01:30 - 04.01.2018 01:45,6709,6438
04.01.2018 01:45 - 04.01.2018 02:00,6646,6300
04.01.2018 02:00 - 04.01.2018 02:15,6702,6352
04.01.2018 02:15 - 04.01.2018 02:30,6634,6264
04.01.2018 02:30 - 04.01.2018 02:45,6576,6215
04.01.2018 02:45 - 04.01.2018 03:00,6518,6127
04.01.2018 03:00 - 04.01.2018 03:15,6492,6064
04.01.2018 03:15 - 04.01.2018 03:30,6467,6053
04.01.2018 03:30 - 04.01.2018 03:45,6454,6035
04.01.2018 03:45 - 04.01.2018 04:00,6461,6055
04.01.2018 04:00 - 04.01.2018 04:15,6530,6119
04.01.2018 04:15 - 04.01.2018 04:30,6585,6143
04.01.2018 04:30 - 04.01.2018 04:45,6671,6198
04.01.2018 04:45 - 04.01.2018 05:00,6792,6286
04.01.2018 05:00 - 04.01.2018 05:15,7013,6473
04.01.2018 05:15 - 04.01.2018 05:30,7238,6638
04.01.2018 05:30 - 04.01.2018 05:45,7461,6836
04.01.2018 05:45 - 04.01.2018 06:00,7709,6968
04.01.2018 06:00 - 04.01.2018 06:15,8039,7178
04.01.2018 06:15 - 04.01.2018 06:30,8385,7364
04.01.2018 06:30 - 04.01.2018 06:45,8709,7581
04.01.2018 06:45 - 04.01.2018 07:00,8964,7796
04.01.2018 07:00 - 04.01.2018 07:15,9288,8100
04.01.2018 07:15 - 04.01.2018 07:30,9442,8240
04.01.2018 07:30 - 04.01.2018 07:45,9540,8401
04.01.2018 07:45 - 04.01.2018 08:00,9609,8445
04.01.2018 08:00 - 04.01.2018 08:15,9686,8566
04.01.2018 08:15 - 04.01.2018 08:30,9705,8648
04.01.2018 08:30 - 04.01.2018 08:45,9729,8750
04.01.2018 08:45 - 04.01.2018 09:00,9736,8812
04.01.2018 09:00 - 04.01.2018 09:15,9681,8875
04.01.2018 09:15 - 04.01.2018 09:30,9686,8931
04.01.2018 09:30 - 04.01.2018 09:45,9704,8970
04.01.2018 09:45 - 04.01.2018 10:00,9680,9004
04.01.2018 10:00 - 04.01.2018 10:15,9674,9015
04.01.2018 10:15 - 04.01.2018 10:30,9678,9070
04.01.2018 10:30 - 04.01.2018 10:45,9678,9138
04.01.2018 10:45 - 04.01.2018 11:00,9686,9164
04.01.2018 11:00 - 04.01.2018 11:15,9666,9157
04.01.2018 11:15 - 04.01.2018 11:30,9664,9278
04.01.2018 11:30 - 04.01.2018 11:45,9633,9302
04.01.2018 11:45 - 04.01.2018 12:00,9586,9228
04.01.2018 12:00 - 04.01.2018 12:15,9547,9281
04.01.2018 12:15 - 04.01.2018 12:30,9454,9182
04.01.2018 12:30 - 04.01.2018 12:45,9416,9145
04.01.2018 12:45 - 04.01.2018 13:00,9399,9110
04.01.2018 13:00 - 04.01.2018 13:15,9448,9137
