Time (CET),Day-ahead Total Load Forecast [MW] - Austria (AT),Actual Total Load [MW] - Austria (AT)
05.08.2018 06:00 - 05.08.2018 06:15,4353,4830
05.08.2018 06:15 - 05.08.2018 06:30,4402,4818
05.08.2018 06:30 - 05.08.2018 06:45,4466,4887
05.08.2018 06:45 - 05.08.2018 07:00,4537,4955
05.08.2018 07:00 - 05.08.2018 07:15,4717,5173
05.08.2018 07:15 - 05.08.2018 07:30,4788,5235
05.08.2018 07:30 - 05.08.2018 07:45,4869,5328
05.08.2018 07:45 - 05.08.2018 08:00,4946,5418
05.08.2018 08:00 - 05.08.2018 08:15,5057,5588
05.08.2018 08:15 - 05.08.2018 08:30,5135,5655
05.08.2018 08:30 - 05.08.2018 08:45,5209,5727
05.08.2018 08:45 - 05.08.2018 09:00,5282,5799
05.08.2018 09:00 - 05.08.2018 09:15,5370,5928
05.08.2018 09:15 - 05.08.2018 09:30,5427,5966
05.08.2018 09:30 - 05.08.2018 09:45,5493,5995
05.08.2018 09:45 - 05.08.2018 10:00,5555,6024
05.08.2018 10:00 - 05.08.2018 10:15,5620,6096
05.08.2018 10:15 - 05.08.2018 10:30,5679,6111
05.08.2018 10:30 - 05.08.2018 10:45,5734,6140
05.08.2018 10:45 - 05.08.2018 11:00,5790,6208
05.08.2018 11:00 - 05.08.2018 11:15,5845,6134
05.08.2018 11:15 - 05.08.2018 11:30,5893,6170
05.08.2018 11:30 - 05.08.2018 11:45,5906,6157
05.08.2018 11:45 - 05.08.2018 12:00,5870,6127
05.08.2018 12:00 - 05.08.2018 12:15,5823,6112
05.08.2018 12:15 - 05.08.2018 12:30,5737,6036
05.08.2018 12:30 - 05.08.2018 12:45,5689,6019
05.08.2018 12:45 - 05.08.2018 13:00,5644,5985
05.08.2018 13:00 - 05.08.2018 13:15,5615,5981
05.08.2018 13:15 - 05.08.2018 13:30,5582,5981
05.08.2018 13:30 - 05.08.2018 13:45,5547,5997
05.08.2018 13:45 - 05.08.2018 14:00,5512,5976
05.08.2018 14:00 - 05.08.2018 14:15,5489,5934
05.08.2018 14:15 - 05.08.2018 14:30,5448,5924
05.08.2018 14:30 - 05.08.2018 14:45,5411,5923
05.08.2018 14:45 - 05.08.2018 15:00,5387,5905
05.08.2018 15:00 - 05.08.2018 15:15,5389,5966
05.08.2018 15:15 - 05.08.2018 15:30,5376,5986
05.08.2018 15:30 - 05.08.2018 15:45,5376,6003
05.08.2018 15:45 - 05.08.2018 16:00,5373,5983
05.08.2018 16:00 - 05.08.2018 16:15,5396,5975
05.08.2018 16:15 - 05.08.2018 16:30,5413,5955
05.08.2018 16:30 - 05.08.2018 16:45,5434,5945
05.08.2018 16:45 - 05.08.2018 17:00,5466,5976
05.08.2018 17:00 - 05.08.2018 17:15,5533,6062
05.08.2018 17:15 - 05.08.2018 17:30,5569,6132
05.08.2018 17:30 - 05.08.2018 17:45,5612,6165
05.08.2018 17:45 - 05.08.2018 18:00,5659,6183
05.08.2018 18:00 - 05.08.2018 18:15,5712,6228
05.08.2018 18:15 - 05.08.2018 18:30,5727,6222
05.08.2018 18:30 - 05.08.2018 18:45,5747,6238
05.08.2018 18:45 - 05.08.2018 19:00,5758,6250
05.08.2018 19:00 - 05.08.2018 19:15,5703,6148
05.08.2018 19:15 - 05.08.2018 19:30,5705,6122
05.08.2018 19:30 - 05.08.2018 19:45,5713,6096
05.08.2018 19:45 - 05.08.2018 20:00,5727,6095
05.08.2018 20:00 - 05.08.2018 20:15,5744,6108
05.08.2018 20:15 - 05.08.2018 20:30,5743,6120
05.08.2018 20:30 - 05.08.2018 20:45,5741,6153
05.08.2018 20:45 - 05.08.2018 21:00,5731,6175
05.08.2018 21:00 - 05.08.2018 21:15,5730,6156
05.08.2018 21:15 - 05.08.2018 21:30,5727,6059
05.08.2018 21:30 - 05.08.2018 21:45,5692,6038
05.08.2018 21:45 - 05.08.2018 22:00,5666,5968
05.08.2018 22:00 - 05.08.2018 22:15,5814,6112
05.08.2018 22:15 - 05.08.2018 22:30,5783,6042
05.08.2018 22:30 - 05.08.2018 22:45,5651,5904
05.08.2018 22:45 - 05.08.2018 23:00,5527,5784
05.08.2018 23:00 - 05.08.2018 23:15,5467,5684
05.08.2018 23:15 - 05.08.2018 23:30,5346,5520
05.08.2018 23:30 - 05.08.2018 23:45,5223,5470
05.08.2018 23:45 - 06.08.2018 00:00,5169,5382
06.08.2018 00:00 - 06.08.2018 00:15,5546,5422
06.08.2018 00:15 - 06.08.2018 00:30,5446,5344
06.08.2018 00:30 - 06.08.2018 00:45,5335,5217
06.08.2018 00:45 - 06.08.2018 01:00,5236,5122
06.08.2018 01:00 - 06.08.2018 01:15,5204,5085
06.08.2018 01:15 - 06.08.2018 01:30,5117,5044
06.08.2018 01:30 - 06.08.2018 01:45,5050,5002
06.08.2018 01:45 - 06.08.2018 02:00,5001,4928
06.08.2018 02:00 - 06.08.2018 02:15,5074,5000
06.08.2018 02:15 - 06.08.2018 02:30,5022,4955
06.08.2018 02:30 - 06.08.2018 02:45,4965,4917
06.08.2018 02:45 - 06.08.2018 03:00,4911,4895
06.08.2018 03:00 - 06.08.2018 03:15,4894,4872
06.08.2018 03:15 - 06.08.2018 03:30,4861,4850
06.08.2018 03:30 - 06.08.2018 03:45,4843,4840
06.08.2018 03:45 - 06.08.2018 04:00,4842,4864
06.08.2018 04:00 - 06.08.2018 04:15,4887,4927
06.08.2018 04:15 - 06.08.2018 04:30,4923,4975
06.08.2018 04:30 - 06.08.2018 04:45,4980,5034
06.08.2018 04:45 - 06.08.2018 05:00,5059,5118
06.08.2018 05:00 - 06.08.2018 05:15,5218,5325
06.08.2018 05:15 - 06.08.2018 05:30,5334,5412
06.08.2018 05:30 - 06.08.2018 05:45,5480,5540
06.08.2018 05:45 - 06.08.2018 06:00,5674,5710
06.08.2018 06:00 - 06.08.2018 06:15,5994,6046
06.08.2018 06:15 - 06.08.2018 06:30,6232,6311
06.08.2018 06:30 - 06.08.2018 06:45,6421,6528
06.08.2018 06:45 - 06.08.2018 07:00,6590,6704
06.08.2018 07:00 - 06.08.2018 07:15,6877,7009
06.08.2018 07:15 - 06.08.2018 07:30,7026,7138
06.08.2018 07:30 - 06.08.2018 07:45,7148,7293
06.08.2018 07:45 - 06.08.2018 08:00,7257,7414
06.08.2018 08:00 - 06.08.2018 08:15,7377,7591
06.08.2018 08:15 - 06.08.2018 08:30,7445,7654
06.08.2018 08:30 - 06.08.2018 08:45,7503,7688
06.08.2018 08:45 - 06.08.2018 09:00,7539,7739
06.08.2018 09:00 - 06.08.2018 09:15,7535,7741
06.08.2018 09:15 - 06.08.2018 09:30,7575,7792
06.08.2018 09:30 - 06.08.2018 09:45,7619,7810
06.08.2018 09:45 - 06.08.2018 10:00,7634,7811
06.08.2018 10:00 - 06.08.2018 10:15,7651,7826
06.08.2018 10:15 - 06.08.2018 10:30,7685,7865
06.08.2018 10:30 - 06.08.2018 10:45,7720,7895
06.08.2018 10:45 - 06.08.2018 11:00,7759,7946
06.08.2018 11:00 - 06.08.2018 11:15,7794,7962
06.08.2018 11:15 - 06.08.2018 11:30,7841,8006
06.08.2018 11:30 - 06.08.2018 11:45,7843,8029
06.08.2018 11:45 - 06.08.2018 12:00,7807,8012
06.08.2018 12:00 - 06.08.2018 12:15,7704,7945
06.08.2018 12:15 - 06.08.2018 12:30,7616,7842
06.08.2018 12:30 - 06.08.2018 12:45,7583,7826
06.08.2018 12:45 - 06.08.2018 13:00,7574,7827
06.08.2018 13:00 - 06.08.2018 13:15,7600,7858
06.08.2018 13:15 - 06.08.2018 13:30,7580,7847
06.08.2018 13:30 - 06.08.2018 13:45,7552,7835
06.08.2018 13:45 - 06.08.2018 14:00,7511,7796
06.08.2018 14:00 - 06.08.2018 14:15,7492,7776
06.08.2018 14:15 - 06.08.2018 14:30,7483,7765
06.08.2018 14:30 - 06.08.2018 14:45,7463,7747
06.08.2018 14:45 - 06.08.2018 15:00,7442,7706
06.08.2018 15:00 - 06.08.2018 15:15,7454,7722
06.08.2018 15:15 - 06.08.2018 15:30,7440,7715
06.08.2018 15:30 - 06.08.2018 15:45,7422,7695
06.08.2018 15:45 - 06.08.2018 16:00,7408,7682
06.08.2018 16:00 - 06.08.2018 16:15,7397,7693
06.08.2018 16:15 - 06.08.2018 16:30,7374,7696
06.08.2018 16:30 - 06.08.2018 16:45,7357,7678
06.08.2018 16:45 - 06.08.2018 17:00,7344,7704
06.08.2018 17:00 - 06.08.2018 17:15,7335,7704
06.08.2018 17:15 - 06.08.2018 17:30,7352,7714
06.08.2018 17:30 - 06.08.2018 17:45,7374,7845
06.08.2018 17:45 - 06.08.2018 18:00,7374,7859
06.08.2018 18:00 - 06.08.2018 18:15,7347,7770
06.08.2018 18:15 - 06.08.2018 18:30,7340,7757
06.08.2018 18:30 - 06.08.2018 18:45,7331,7747
06.08.2018 18:45 - 06.08.2018 19:00,7298,7674
06.08.2018 19:00 - 06.08.2018 19:15,7187,7484
06.08.2018 19:15 - 06.08.2018 19:30,7132,7414
06.08.2018 19:30 - 06.08.2018 19:45,7085,7366
06.08.2018 19:45 - 06.08.2018 20:00,7026,7293
06.08.2018 20:00 - 06.08.2018 20:15,6957,7242
06.08.2018 20:15 - 06.08.2018 20:30,6893,7191
06.08.2018 20:30 - 06.08.2018 20:45,6842,7152
06.08.2018 20:45 - 06.08.2018 21:00,6809,7110
06.08.2018 21:00 - 06.08.2018 21:15,6776,7032
06.08.2018 21:15 - 06.08.2018 21:30,6712,6927
06.08.2018 21:30 - 06.08.2018 21:45,6615,6844
06.08.2018 21:45 - 06.08.2018 22:00,6495,6690
06.08.2018 22:00 - 06.08.2018 22:15,6543,6725
06.08.2018 22:15 - 06.08.2018 22:30,6450,6608
06.08.2018 22:30 - 06.08.2018 22:45,6282,6420
06.08.2018 22:45 - 06.08.2018 23:00,6155,6305
06.08.2018 23:00 - 06.08.2018 23:15,6042,6094
06.08.2018 23:15 - 06.08.2018 23:30,5880,5946
06.08.2018 23:30 - 06.08.2018 23:45,5745,5855
06.08.2018 23:45 - 07.08.2018 00:00,5650,5800
07.08.2018 00:00 - 07.08.2018 00:15,5546,5812
07.08.2018 00:15 - 07.08.2018 00:30,5446,5727
07.08.2018 00:30 - 07.08.2018 00:45,5335,5668
07.08.2018 00:45 - 07.08.2018 01:00,5236,5553
07.08.2018 01:00 - 07.08.2018 01:15,5204,5484
07.08.2018 01:15 - 07.08.2018 01:30,5117,5430
07.08.2018 01:30 - 07.08.2018 01:45,5050,5364
07.08.2018 01:45 - 07.08.2018 02:00,5001,5300
07.08.2018 02:00 - 07.08.2018 02:15,5074,5358
07.08.2018 02:15 - 07.08.2018 02:30,5022,5323
07.08.2018 02:30 - 07.08.2018 02:45,4965,5264
07.08.2018 02:45 - 07.08.2018 03:00,4911,5229
07.08.2018 03:00 - 07.08.2018 03:15,4894,5200
07.08.2018 03:15 - 07.08.2018 03:30,4861,5175
07.08.2018 03:30 - 07.08.2018 03:45,4843,5132
07.08.2018 03:45 - 07.08.2018 04:00,4842,5137
07.08.2018 04:00 - 07.08.2018 04:15,4887,5191
07.08.2018 04:15 - 07.08.2018 04:30,4923,5159
07.08.2018 04:30 - 07.08.2018 04:45,4980,5215
07.08.2018 04:45 - 07.08.2018 05:00,5059,5269
07.08.2018 05:00 - 07.08.2018 05:15,5218,5455
07.08.2018 05:15 - 07.08.2018 05:30,5334,5566
07.08.2018 05:30 - 07.08.2018 05:45,5480,5657
07.08.2018 05:45 - 07.08.2018 06:00,5674,5836
07.08.2018 06:00 - 07.08.2018 06:15,5994,6262
07.08.2018 06:15 - 07.08.2018 06:30,6232,6479
07.08.2018 06:30 - 07.08.2018 06:45,6421,6649
07.08.2018 06:45 - 07.08.2018 07:00,6590,6810
07.08.2018 07:00 - 07.08.2018 07:15,6877,7132
07.08.2018 07:15 - 07.08.2018 07:30,7026,7286
07.08.2018 07:30 - 07.08.2018 07:45,7148,7418
07.08.2018 07:45 - 07.08.2018 08:00,7257,7514
07.08.2018 08:00 - 07.08.2018 08:15,7377,7658
07.08.2018 08:15 - 07.08.2018 08:30,7445,7734
07.08.2018 08:30 - 07.08.2018 08:45,7503,7778
07.08.2018 08:45 - 07.08.2018 09:00,7539,7836
07.08.2018 09:00 - 07.08.2018 09:15,7535,7820
07.08.2018 09:15 - 07.08.2018 09:30,7575,7898
07.08.2018 09:30 - 07.08.2018 09:45,7619,7963
07.08.2018 09:45 - 07.08.2018 10:00,7634,7999
07.08.2018 10:00 - 07.08.2018 10:15,7651,7998
07.08.2018 10:15 - 07.08.2018 10:30,7685,8006
07.08.2018 10:30 - 07.08.2018 10:45,7720,8070
07.08.2018 10:45 - 07.08.2018 11:00,7759,8145
07.08.2018 11:00 - 07.08.2018 11:15,7794,8142
07.08.2018 11:15 - 07.08.2018 11:30,7841,8259
07.08.2018 11:30 - 07.08.2018 11:45,7843,8275
07.08.2018 11:45 - 07.08.2018 12:00,7807,8291
07.08.2018 12:00 - 07.08.2018 12:15,7704,8150
07.08.2018 12:15 - 07.08.2018 12:30,7616,8119
07.08.2018 12:30 - 07.08.2018 12:45,7583,8049
07.08.2018 12:45 - 07.08.2018 13:00,7574,8042
07.08.2018 13:00 - 07.08.2018 13:15,7600,8079
07.08.2018 13:15 - 07.08.2018 13:30,7580,8086
07.08.2018 13:30 - 07.08.2018 13:45,7552,8086
07.08.2018 13:45 - 07.08.2018 14:00,7511,8035
07.08.2018 14:00 - 07.08.2018 14:15,7492,7972
07.08.2018 14:15 - 07.08.2018 14:30,7483,8016
07.08.2018 14:30 - 07.08.2018 14:45,7463,8002
07.08.2018 14:45 - 07.08.2018 15:00,7442,7994
07.08.2018 15:00 - 07.08.2018 15:15,7454,8038
07.08.2018 15:15 - 07.08.2018 15:30,7440,7999
07.08.2018 15:30 - 07.08.2018 15:45,7422,7979
07.08.2018 15:45 - 07.08.2018 16:00,7408,7974
07.08.2018 16:00 - 07.08.2018 16:15,7397,7994
07.08.2018 16:15 - 07.08.2018 16:30,7374,7984
07.08.2018 16:30 - 07.08.2018 16:45,7357,7922
07.08.2018 16:45 - 07.08.2018 17:00,7344,7894
07.08.2018 17:00 - 07.08.2018 17:15,7335,7906
07.08.2018 17:15 - 07.08.2018 17:30,7352,7937
07.08.2018 17:30 - 07.08.2018 17:45,7374,7896
07.08.2018 17:45 - 07.08.2018 18:00,7374,7885
07.08.2018 18:00 - 07.08.2018 18:15,7347,7902
07.08.2018 18:15 - 07.08.2018 18:30,7340,7818
07.08.2018 18:30 - 07.08.2018 18:45,7331,7836
07.08.2018 18:45 - 07.08.2018 19:00,7298,7788
07.08.2018 19:00 - 07.08.2018 19:15,7187,7552
07.08.2018 19:15 - 07.08.2018 19:30,7132,7481
07.08.2018 19:30 - 07.08.2018 19:45,7085,7387
07.08.2018 19:45 - 07.08.2018 20:00,7026,7303
07.08.2018 20:00 - 07.08.2018 20:15,6957,7185
07.08.2018 20:15 - 07.08.2018 20:30,6893,7150
07.08.2018 20:30 - 07.08.2018 20:45,6842,7111
07.08.2018 20:45 - 07.08.2018 21:00,6809,7043
07.08.2018 21:00 - 07.08.2018 21:15,6776,6920
07.08.2018 21:15 - 07.08.2018 21:30,6712,6808
07.08.2018 21:30 - 07.08.2018 21:45,6615,6694
07.08.2018 21:45 - 07.08.2018 22:00,6495,6587
07.08.2018 22:00 - 07.08.2018 22:15,6543,6632
07.08.2018 22:15 - 07.08.2018 22:30,6450,6548
07.08.2018 22:30 - 07.08.2018 22:45,6282,6419
07.08.2018 22:45 - 07.08.2018 23:00,6155,6265
07.08.2018 23:00 - 07.08.2018 23:15,6042,6106
07.08.2018 23:15 - 07.08.2018 23:30,5880,6011
07.08.2018 23:30 - 07.08.2018 23:45,5745,5892
07.08.2018 23:45 - 08.08.2018 00:00,5650,5827
08.08.2018 00:00 - 08.08.2018 00:15,5546,5797
08.08.2018 00:15 - 08.08.2018 00:30,5446,5704
08.08.2018 00:30 - 08.08.2018 00:45,5335,5557
08.08.2018 00:45 - 08.08.2018 01:00,5236,5504
08.08.2018 01:00 - 08.08.2018 01:15,5204,5420
08.08.2018 01:15 - 08.08.2018 01:30,5117,5355
08.08.2018 01:30 - 08.08.2018 01:45,5050,5288
08.08.2018 01:45 - 08.08.2018 02:00,5001,5250
08.08.2018 02:00 - 08.08.2018 02:15,5074,5328
08.08.2018 02:15 - 08.08.2018 02:30,5022,5308
08.08.2018 02:30 - 08.08.2018 02:45,4965,5253
08.08.2018 02:45 - 08.08.2018 03:00,4911,5222
08.08.2018 03:00 - 08.08.2018 03:15,4894,5276
08.08.2018 03:15 - 08.08.2018 03:30,4861,5191
08.08.2018 03:30 - 08.08.2018 03:45,4843,5235
08.08.2018 03:45 - 08.08.2018 04:00,4842,5205
08.08.2018 04:00 - 08.08.2018 04:15,4887,5226
08.08.2018 04:15 - 08.08.2018 04:30,4923,5216
08.08.2018 04:30 - 08.08.2018 04:45,4980,5330
08.08.2018 04:45 - 08.08.2018 05:00,5059,5412
08.08.2018 05:00 - 08.08.2018 05:15,5218,5589
08.08.2018 05:15 - 08.08.2018 05:30,5334,5726
08.08.2018 05:30 - 08.08.2018 05:45,5480,5837
08.08.2018 05:45 - 08.08.2018 06:00,5674,5964
08.08.2018 06:00 - 08.08.2018 06:15,5994,6350
08.08.2018 06:15 - 08.08.2018 06:30,6232,6607
08.08.2018 06:30 - 08.08.2018 06:45,6421,6779
08.08.2018 06:45 - 08.08.2018 07:00,6590,6929
08.08.2018 07:00 - 08.08.2018 07:15,6877,7286
08.08.2018 07:15 - 08.08.2018 07:30,7026,7477
08.08.2018 07:30 - 08.08.2018 07:45,7148,7612
08.08.2018 07:45 - 08.08.2018 08:00,7257,7714
08.08.2018 08:00 - 08.08.2018 08:15,7377,7792
08.08.2018 08:15 - 08.08.2018 08:30,7445,7862
08.08.2018 08:30 - 08.08.2018 08:45,7503,7931
08.08.2018 08:45 - 08.08.2018 09:00,7539,7931
08.08.2018 09:00 - 08.08.2018 09:15,7535,7844
08.08.2018 09:15 - 08.08.2018 09:30,7575,7890
08.08.2018 09:30 - 08.08.2018 09:45,7619,7988
08.08.2018 09:45 - 08.08.2018 10:00,7634,8082
08.08.2018 10:00 - 08.08.2018 10:15,7651,8016
08.08.2018 10:15 - 08.08.2018 10:30,7685,8068
08.08.2018 10:30 - 08.08.2018 10:45,7720,8138
08.08.2018 10:45 - 08.08.2018 11:00,7759,8179
08.08.2018 11:00 - 08.08.2018 11:15,7794,8236
08.08.2018 11:15 - 08.08.2018 11:30,7841,8277
08.08.2018 11:30 - 08.08.2018 11:45,7843,8263
08.08.2018 11:45 - 08.08.2018 12:00,7807,8200
08.08.2018 12:00 - 08.08.2018 12:15,7704,8150
08.08.2018 12:15 - 08.08.2018 12:30,7616,8028
08.08.2018 12:30 - 08.08.2018 12:45,7583,8006
08.08.2018 12:45 - 08.08.2018 13:00,7574,7984
08.08.2018 13:00 - 08.08.2018 13:15,7600,8034
08.08.2018 13:15 - 08.08.2018 13:30,7580,8017
08.08.2018 13:30 - 08.08.2018 13:45,7552,7968
08.08.2018 13:45 - 08.08.2018 14:00,7511,7936
08.08.2018 14:00 - 08.08.2018 14:15,7492,7937
08.08.2018 14:15 - 08.08.2018 14:30,7483,7944
08.08.2018 14:30 - 08.08.2018 14:45,7463,7892
08.08.2018 14:45 - 08.08.2018 15:00,7442,7876
08.08.2018 15:00 - 08.08.2018 15:15,7454,7893
08.08.2018 15:15 - 08.08.2018 15:30,7440,7873
08.08.2018 15:30 - 08.08.2018 15:45,7422,7856
08.08.2018 15:45 - 08.08.2018 16:00,7408,7812
08.08.2018 16:00 - 08.08.2018 16:15,7397,7886
08.08.2018 16:15 - 08.08.2018 16:30,7374,7834
08.08.2018 16:30 - 08.08.2018 16:45,7357,7818
08.08.2018 16:45 - 08.08.2018 17:00,7344,7830
08.08.2018 17:00 - 08.08.2018 17:15,7335,7834
08.08.2018 17:15 - 08.08.2018 17:30,7352,7840
08.08.2018 17:30 - 08.08.2018 17:45,7374,7862
08.08.2018 17:45 - 08.08.2018 18:00,7374,7870
08.08.2018 18:00 - 08.08.2018 18:15,7347,7890
08.08.2018 18:15 - 08.08.2018 18:30,7340,7823
08.08.2018 18:30 - 08.08.2018 18:45,7331,7846
08.08.2018 18:45 - 08.08.2018 19:00,7298,7823
08.08.2018 19:00 - 08.08.2018 19:15,7187,7610
08.08.2018 19:15 - 08.08.2018 19:30,7132,7515
08.08.2018 19:30 - 08.08.2018 19:45,7085,7441
08.08.2018 19:45 - 08.08.2018 20:00,7026,7363
08.08.2018 20:00 - 08.08.2018 20:15,6957,7325
08.08.2018 20:15 - 08.08.2018 20:30,6893,7295
08.08.2018 20:30 - 08.08.2018 20:45,6842,7254
08.08.2018 20:45 - 08.08.2018 21:00,6809,7196
08.08.2018 21:00 - 08.08.2018 21:15,6776,7050
08.08.2018 21:15 - 08.08.2018 21:30,6712,6976
08.08.2018 21:30 - 08.08.2018 21:45,6615,6868
08.08.2018 21:45 - 08.08.2018 22:00,6495,6788
08.08.2018 22:00 - 08.08.2018 22:15,6543,6774
08.08.2018 22:15 - 08.08.2018 22:30,6450,6686
08.08.2018 22:30 - 08.08.2018 22:45,6282,6493
08.08.2018 22:45 - 08.08.2018 23:00,6155,6366
08.08.2018 23:00 - 08.08.2018 23:15,6042,6245
08.08.2018 23:15 - 08.08.2018 23:30,5880,6082
08.08.2018 23:30 - 08.08.2018 23:45,5745,5981
08.08.2018 23:45 - 09.08.2018 00:00,5650,5939
09.08.2018 00:00 - 09.08.2018 00:15,5318,5921
09.08.2018 00:15 - 09.08.2018 00:30,5216,5798
09.08.2018 00:30 - 09.08.2018 00:45,5112,5684
09.08.2018 00:45 - 09.08.2018 01:00,5015,5577
09.08.2018 01:00 - 09.08.2018 01:15,4991,5514
09.08.2018 01:15 - 09.08.2018 01:30,4914,5467
09.08.2018 01:30 - 09.08.2018 01:45,4848,5374
09.08.2018 01:45 - 09.08.2018 02:00,4800,5323
09.08.2018 02:00 - 09.08.2018 02:15,4822,5358
09.08.2018 02:15 - 09.08.2018 02:30,4772,5303
09.08.2018 02:30 - 09.08.2018 02:45,4729,5230
09.08.2018 02:45 - 09.08.2018 03:00,4684,5184
09.08.2018 03:00 - 09.08.2018 03:15,4662,5152
09.08.2018 03:15 - 09.08.2018 03:30,4632,5136
09.08.2018 03:30 - 09.08.2018 03:45,4613,5112
09.08.2018 03:45 - 09.08.2018 04:00,4620,5144
09.08.2018 04:00 - 09.08.2018 04:15,4662,5150
09.08.2018 04:15 - 09.08.2018 04:30,4697,5201
09.08.2018 04:30 - 09.08.2018 04:45,4753,5276
09.08.2018 04:45 - 09.08.2018 05:00,4832,5308
09.08.2018 05:00 - 09.08.2018 05:15,4985,5531
09.08.2018 05:15 - 09.08.2018 05:30,5091,5684
09.08.2018 05:30 - 09.08.2018 05:45,5232,5762
09.08.2018 05:45 - 09.08.2018 06:00,5411,5938
09.08.2018 06:00 - 09.08.2018 06:15,5710,6321
09.08.2018 06:15 - 09.08.2018 06:30,5928,6550
09.08.2018 06:30 - 09.08.2018 06:45,6107,6756
09.08.2018 06:45 - 09.08.2018 07:00,6280,6899
09.08.2018 07:00 - 09.08.2018 07:15,6548,7269
09.08.2018 07:15 - 09.08.2018 07:30,6695,7391
09.08.2018 07:30 - 09.08.2018 07:45,6810,7506
09.08.2018 07:45 - 09.08.2018 08:00,6917,7618
09.08.2018 08:00 - 09.08.2018 08:15,7040,7752
09.08.2018 08:15 - 09.08.2018 08:30,7114,7814
09.08.2018 08:30 - 09.08.2018 08:45,7170,7866
09.08.2018 08:45 - 09.08.2018 09:00,7215,7952
09.08.2018 09:00 - 09.08.2018 09:15,7219,7924
09.08.2018 09:15 - 09.08.2018 09:30,7263,8026
09.08.2018 09:30 - 09.08.2018 09:45,7310,8064
09.08.2018 09:45 - 09.08.2018 10:00,7328,8078
09.08.2018 10:00 - 09.08.2018 10:15,7344,8100
09.08.2018 10:15 - 09.08.2018 10:30,7378,8178
09.08.2018 10:30 - 09.08.2018 10:45,7409,8226
09.08.2018 10:45 - 09.08.2018 11:00,7447,8257
09.08.2018 11:00 - 09.08.2018 11:15,7476,8254
09.08.2018 11:15 - 09.08.2018 11:30,7506,8299
09.08.2018 11:30 - 09.08.2018 11:45,7517,8335
09.08.2018 11:45 - 09.08.2018 12:00,7489,8294
09.08.2018 12:00 - 09.08.2018 12:15,7386,8188
09.08.2018 12:15 - 09.08.2018 12:30,7312,8116
09.08.2018 12:30 - 09.08.2018 12:45,7283,8071
09.08.2018 12:45 - 09.08.2018 13:00,7278,8082
09.08.2018 13:00 - 09.08.2018 13:15,7300,8128
09.08.2018 13:15 - 09.08.2018 13:30,7284,8112
09.08.2018 13:30 - 09.08.2018 13:45,7261,8059
09.08.2018 13:45 - 09.08.2018 14:00,7226,8006
09.08.2018 14:00 - 09.08.2018 14:15,7212,8032
09.08.2018 14:15 - 09.08.2018 14:30,7206,8035
09.08.2018 14:30 - 09.08.2018 14:45,7187,8000
09.08.2018 14:45 - 09.08.2018 15:00,7172,7998
09.08.2018 15:00 - 09.08.2018 15:15,7177,7991
09.08.2018 15:15 - 09.08.2018 15:30,7159,7927
09.08.2018 15:30 - 09.08.2018 15:45,7142,7965
09.08.2018 15:45 - 09.08.2018 16:00,7132,7951
09.08.2018 16:00 - 09.08.2018 16:15,7121,7954
09.08.2018 16:15 - 09.08.2018 16:30,7097,7928
09.08.2018 16:30 - 09.08.2018 16:45,7078,7922
09.08.2018 16:45 - 09.08.2018 17:00,7066,7904
09.08.2018 17:00 - 09.08.2018 17:15,7056,7914
09.08.2018 17:15 - 09.08.2018 17:30,7075,7909
09.08.2018 17:30 - 09.08.2018 17:45,7099,7995
09.08.2018 17:45 - 09.08.2018 18:00,7104,7935
09.08.2018 18:00 - 09.08.2018 18:15,7077,7931
09.08.2018 18:15 - 09.08.2018 18:30,7071,7944
09.08.2018 18:30 - 09.08.2018 18:45,7059,7892
09.08.2018 18:45 - 09.08.2018 19:00,7023,7817
09.08.2018 19:00 - 09.08.2018 19:15,6918,7636
09.08.2018 19:15 - 09.08.2018 19:30,6866,7592
09.08.2018 19:30 - 09.08.2018 19:45,6818,7502
09.08.2018 19:45 - 09.08.2018 20:00,6757,7460
09.08.2018 20:00 - 09.08.2018 20:15,6684,7404
09.08.2018 20:15 - 09.08.2018 20:30,6618,7360
09.08.2018 20:30 - 09.08.2018 20:45,6569,7362
09.08.2018 20:45 - 09.08.2018 21:00,6537,7394
09.08.2018 21:00 - 09.08.2018 21:15,6500,7284
09.08.2018 21:15 - 09.08.2018 21:30,6433,7168
09.08.2018 21:30 - 09.08.2018 21:45,6334,7079
09.08.2018 21:45 - 09.08.2018 22:00,6227,6936
09.08.2018 22:00 - 09.08.2018 22:15,6267,6982
09.08.2018 22:15 - 09.08.2018 22:30,6173,6904
09.08.2018 22:30 - 09.08.2018 22:45,6011,6737
09.08.2018 22:45 - 09.08.2018 23:00,5876,6600
09.08.2018 23:00 - 09.08.2018 23:15,5777,6452
09.08.2018 23:15 - 09.08.2018 23:30,5630,6306
09.08.2018 23:30 - 09.08.2018 23:45,5507,6183
09.08.2018 23:45 - 10.08.2018 00:00,5542,6083
10.08.2018 00:00 - 10.08.2018 00:15,5377,6193
10.08.2018 00:15 - 10.08.2018 00:30,5273,6088
10.08.2018 00:30 - 10.08.2018 00:45,5164,5992
10.08.2018 00:45 - 10.08.2018 01:00,5052,5902
10.08.2018 01:00 - 10.08.2018 01:15,5016,5782
10.08.2018 01:15 - 10.08.2018 01:30,4938,5647
10.08.2018 01:30 - 10.08.2018 01:45,4879,5650
10.08.2018 01:45 - 10.08.2018 02:00,4837,5589
