time,from,to
960,0,1727
961,0,948
962,0,773
963,0,1191
964,0,2466
965,0,2975
966,0,3269
967,0,3515
968,0,3019
969,0,1772
970,0,811
971,0,435
972,0,390
973,0,649
974,0,261
975,0,1401
976,0,3127
977,0,4053
978,0,3769
979,0,1464
980,0,1245
981,0,1246
982,0,1430
983,0,804
984,0,486
985,0,333
986,0,1713
987,0,2900
988,0,4225
989,0,5121
990,0,5313
991,0,5574
992,0,5116
993,0,5668
994,0,4476
995,0,2094
996,0,1207
997,0,1572
998,0,1564
999,0,2463
1000,0,4805
1001,0,6593
1002,0,6126
1003,0,3265
1004,0,1442
1005,0,868
1006,0,244
1007,0,109
1008,0,-212
1009,0,744
1010,0,2266
1011,0,3750
1012,0,4656
1013,0,4467
1014,0,4978
1015,0,4635
1016,0,2271
1017,0,452
1018,0,1
1019,0,200
1020,0,550
1021,0,918
1022,0,614
1023,0,572
1024,0,772
1025,0,1658
1026,0,1023
1027,0,2278
1028,0,1114
1029,0,844
1030,0,218
1031,0,-265
1032,0,311
1033,0,-81
1034,0,633
1035,0,1797
1036,0,2551
1037,0,3395
1038,0,3807
1039,0,4585
1040,0,2889
1041,0,986
1042,0,602
1043,0,545
1044,0,473
1045,0,758
1046,0,568
1047,0,2149
1048,0,2438
1049,0,1176
1050,0,1067
1051,0,2514
1052,0,1405
1053,0,189
1054,0,300
1055,0,-259
1056,0,1178
1057,0,3979
1058,0,6425
1059,0,6860
1060,0,6767
1061,0,7677
1062,0,6408
1063,0,6500
1064,0,3018
1065,0,2121
1066,0,995
1067,0,715
1068,0,768
1069,0,1146
1070,0,756
1071,0,1231
1072,0,1503
1073,0,1531
1074,0,1474
1075,0,2562
1076,0,1266
1077,0,948
1078,0,-53
1079,0,-502
1080,0,464
1081,0,2393
1082,0,4476
1083,0,5717
1084,0,6009
1085,0,5773
1086,0,5191
1087,0,2665
1088,0,909
1089,0,1516
1090,0,742
1091,0,393
1092,0,284
1093,0,787
1094,0,229
1095,0,653
1096,0,877
1097,0,1090
1098,0,1399
1099,0,1004
1100,0,1293
1101,0,432
1102,0,659
1103,0,-94
1104,0,223
1105,0,-238
1106,0,516
1107,0,956
1108,0,455
1109,0,943
1110,0,763
1111,0,2549
1112,0,593
1113,0,392
1114,0,473
1115,0,649
1116,0,413
1117,0,630
1118,0,35
1119,0,778
1120,0,662
1121,0,921
1122,0,1515
1123,0,520
1124,0,547
1125,0,655
1126,0,695
1127,0,-358
1128,0,520
1129,0,243
1130,0,145
1131,0,361
1132,0,618
1133,0,893
1134,0,1074
1135,0,1183
1136,0,2056
1137,0,2281
1138,0,1702
1139,0,103
1140,0,-53
1141,0,428
1142,0,32
1143,0,538
1144,0,799
1145,0,1942
1146,0,1442
1147,0,1339
1148,0,894
1149,0,995
1150,0,881
1151,0,51
1152,0,363
1153,0,248
1154,0,487
1155,0,1549
1156,0,2026
1157,0,2552
1158,0,2804
1159,0,2759
1160,0,2275
1161,0,3264
1162,0,1396
1163,0,-481
1164,0,-181
1165,0,374
1166,0,1246
1167,0,822
1168,0,1139
1169,0,2543
1170,0,3483
1171,0,3006
1172,0,1462
1173,0,605
1174,0,977
1175,0,-74
1176,0,508
1177,0,335
1178,0,314
1179,0,100
1180,0,165
1181,0,120
1182,0,1324
1183,0,2276
1184,0,-343
1185,0,963
1186,0,632
1187,0,220
1188,0,326
1189,0,529
1190,0,0
1191,0,476
1192,0,338
1193,0,-367
1194,0,178
1195,0,2166
1196,0,2518
1197,0,1620
1198,0,525
1199,0,-472
1200,0,1603
1201,0,781
1202,0,1319
1203,0,2025
1204,0,3366
1205,0,3141
1206,0,3356
1207,0,3187
1208,0,42
1209,0,958
1210,0,231
1211,0,-349
1212,0,482
1213,0,1109
1214,0,533
1215,0,705
1216,0,593
1217,0,-297
1218,0,1792
1219,0,3190
1220,0,3290
1221,0,1597
1222,0,713
1223,0,-528
1224,0,1652
1225,0,2207
1226,0,3619
1227,0,4437
1228,0,4859
1229,0,5255
1230,0,4721
1231,0,2571
1232,0,1378
1233,0,1034
1234,0,257
1235,0,97
1236,0,1568
1237,0,1738
1238,0,1103
1239,0,1159
1240,0,860
1241,0,-377
1242,0,2000
1243,0,3401
1244,0,2279
1245,0,1485
1246,0,-35
1247,0,-275
1248,0,1152
1249,0,-180
1250,0,833
1251,0,1804
1252,0,2587
1253,0,2915
1254,0,2120
1255,0,2083
1256,0,1205
1257,0,919
1258,0,-484
1259,0,154
1260,0,1109
1261,0,2470
1262,0,2790
1263,0,2604
1264,0,2622
1265,0,1058
1266,0,2450
1267,0,3190
1268,0,1725
1269,0,1804
1270,0,-350
1271,0,-1305
1272,0,778
1273,0,719
1274,0,775
1275,0,988
1276,0,1206
1277,0,1860
1278,0,1096
1279,0,1864
1280,0,947
1281,0,1981
1282,0,-78
1283,0,849
1284,0,410
1285,0,353
1286,0,72
1287,0,-130
1288,0,579
1289,0,444
1290,0,787
1291,0,2520
1292,0,1179
1293,0,1066
1294,0,312
1295,0,100
1296,0,1207
1297,0,-22
1298,0,155
1299,0,762
1300,0,807
1301,0,990
1302,0,912
1303,0,1013
1304,0,1063
1305,0,946
1306,0,540
1307,0,71
1308,0,132
1309,0,929
1310,0,463
1311,0,243
1312,0,847
1313,0,1174
1314,0,2107
1315,0,1101
1316,0,728
1317,0,895
1318,0,798
1319,0,210
1320,0,610
1321,0,448
1322,0,285
1323,0,774
1324,0,1277
1325,0,1243
1326,0,958
1327,0,1302
1328,0,964
1329,0,1535
1330,0,643
1331,0,-27
1332,0,23
1333,0,801
1334,0,950
1335,0,1406
1336,0,2872
1337,0,3470
1338,0,3168
1339,0,2488
1340,0,2333
1341,0,609
1342,0,498
1343,0,45
1344,0,-662
1345,0,516
1346,0,2328
1347,0,4411
1348,0,4458
1349,0,3900
1350,0,2877
1351,0,1360
1352,0,1634
1353,0,443
1354,0,125
1355,0,296
1356,0,1332
1357,0,461
1358,0,757
1359,0,475
1360,0,-305
1361,0,-926
1362,0,136
1363,0,1294
1364,0,769
1365,0,889
1366,0,-293
1367,0,-1005
1368,0,485
1369,0,-361
1370,0,-62
1371,0,679
1372,0,805
1373,0,1191
1374,0,2079
1375,0,1913
1376,0,1437
1377,0,396
1378,0,-553
1379,0,439
1380,0,103
1381,0,272
1382,0,584
1383,0,10
1384,0,-347
1385,0,-251
1386,0,-94
1387,0,856
1388,0,816
1389,0,965
1390,0,598
1391,0,469
1392,0,1052
1393,0,-946
1394,0,2
1395,0,-107
1396,0,560
1397,0,829
1398,0,1981
1399,0,2092
1400,0,237
1401,0,-206
1402,0,-490
1403,0,449
1404,0,-134
1405,0,303
1406,0,-213
1407,0,349
1408,0,205
1409,0,303
1410,0,757
1411,0,999
1412,0,896
1413,0,881
1414,0,103
1415,0,-273
1416,0,-143
1417,0,-505
1418,0,731
1419,0,1390
1420,0,1644
1421,0,2478
1422,0,3936
1423,0,2680
1424,0,1887
1425,0,-666
1426,0,1
1427,0,-353
1428,0,-445
1429,0,-690
1430,0,-505
1431,0,91
1432,0,524
1433,0,1088
1434,0,2411
1435,0,1522
1436,0,1226
1437,0,351
1438,0,221
1439,0,26
1440,0,1127
1441,0,2633
1442,0,4088
1443,0,4260
1444,0,4536
1445,0,3167
1446,0,2731
1447,0,1993
1448,0,1680
1449,0,32
1450,0,305
1451,0,194
1452,0,344
1453,0,-10
1454,0,-918
1455,0,-539
1456,0,654
1457,0,1310
1458,0,1110
1459,0,1087
1460,0,993
1461,0,1424
1462,0,658
1463,0,207
1464,0,64
1465,0,2292
1466,0,5014
1467,0,6478
1468,0,7095
1469,0,7730
1470,0,8150
1471,0,8211
1472,0,7135
1473,0,5672
1474,0,2971
1475,0,1051
1476,0,825
1477,0,2195
1478,0,1978
1479,0,2403
1480,0,2934
1481,0,1534
1482,0,380
1483,0,1591
1484,0,3161
1485,0,1432
1486,0,221
1487,0,-843
1488,0,-907
1489,0,2
1490,0,2049
1491,0,4427
1492,0,6877
1493,0,7563
1494,0,7754
1495,0,7190
1496,0,6063
1497,0,3989
1498,0,2512
1499,0,1555
1500,0,571
1501,0,594
1502,0,1160
1503,0,2870
1504,0,4301
1505,0,4616
1506,0,3823
1507,0,2198
1508,0,1550
1509,0,1800
1510,0,-214
1511,0,-352
1512,0,1309
1513,0,2479
1514,0,4071
1515,0,5592
1516,0,6982
1517,0,6386
1518,0,7806
1519,0,5252
1520,0,1013
1521,0,237
1522,0,1028
1523,0,1099
1524,0,1289
1525,0,1299
1526,0,395
1527,0,881
1528,0,342
1529,0,29
1530,0,1084
1531,0,1024
1532,0,1703
1533,0,1731
1534,0,-645
1535,0,-1173
1536,0,1413
1537,0,2590
1538,0,4220
1539,0,5114
1540,0,5521
1541,0,5771
1542,0,6664
1543,0,5120
1544,0,1467
1545,0,664
1546,0,702
1547,0,1440
1548,0,975
1549,0,1309
1550,0,775
1551,0,1584
1552,0,1656
1553,0,434
1554,0,1018
1555,0,1419
1556,0,3225
1557,0,2063
1558,0,-223
1559,0,-854
1560,0,939
1561,0,1811
1562,0,3465
1563,0,4681
1564,0,5246
1565,0,5703
1566,0,5040
1567,0,3833
1568,0,948
1569,0,1385
1570,0,676
1571,0,168
1572,0,1696
1573,0,1604
1574,0,1256
1575,0,1003
1576,0,1121
1577,0,612
1578,0,258
1579,0,1960
1580,0,2099
1581,0,1021
1582,0,172
1583,0,-176
1584,0,153
1585,0,406
1586,0,2341
1587,0,3220
1588,0,4211
1589,0,4722
1590,0,4794
1591,0,3171
1592,0,1295
1593,0,256
1594,0,-162
1595,0,113
1596,0,278
1597,0,438
1598,0,599
1599,0,274
1600,0,492
1601,0,453
1602,0,445
1603,0,1727
1604,0,948
1605,0,507
1606,0,345
1607,0,-379
1608,0,-302
1609,0,276
1610,0,2351
1611,0,4139
1612,0,4780
1613,0,5335
1614,0,5454
1615,0,3986
1616,0,1921
1617,0,992
1618,0,224
1619,0,937
1620,0,411
1621,0,1205
1622,0,762
1623,0,1455
1624,0,2225
1625,0,1224
1626,0,272
1627,0,914
1628,0,3140
1629,0,2229
1630,0,1480
1631,0,2301
1632,0,1956
1633,0,2321
1634,0,3652
1635,0,5693
1636,0,6334
1637,0,6489
1638,0,6610
1639,0,6006
1640,0,5573
1641,0,5943
1642,0,3207
1643,0,2007
1644,0,1900
1645,0,2623
1646,0,2686
1647,0,1720
1648,0,3312
1649,0,5970
1650,0,6442
1651,0,5508
1652,0,4859
1653,0,3532
1654,0,2675
1655,0,2277
1656,0,4815
1657,0,4513
1658,0,5663
1659,0,6785
1660,0,7740
1661,0,7821
1662,0,8847
1663,0,8675
1664,0,8097
1665,0,7829
1666,0,6841
1667,0,5428
1668,0,4973
1669,0,5908
1670,0,5882
1671,0,5659
1672,0,6667
1673,0,6630
1674,0,6723
1675,0,4942
1676,0,3692
1677,0,3657
1678,0,3495
1679,0,2589
1680,0,3728
1681,0,4803
1682,0,6698
1683,0,7970
1684,0,7496
1685,0,6865
1686,0,6822
1687,0,4208
1688,0,410
1689,0,885
1690,0,184
1691,0,356
1692,0,1072
1693,0,2630
1694,0,2889
1695,0,4127
1696,0,5603
1697,0,5570
1698,0,3953
1699,0,2895
1700,0,2584
1701,0,1537
1702,0,1183
1703,0,1596
1704,0,2005
1705,0,1608
1706,0,3655
1707,0,4774
1708,0,5297
1709,0,5086
1710,0,4015
1711,0,1204
1712,0,997
1713,0,256
1714,0,222
1715,0,-1028
1716,0,445
1717,0,694
1718,0,1086
1719,0,1631
1720,0,917
1721,0,805
1722,0,766
1723,0,793
1724,0,2108
1725,0,1623
1726,0,798
1727,0,855
1728,0,1507
1729,0,1254
1730,0,2447
1731,0,2829
1732,0,3101
1733,0,3848
1734,0,4263
