Timestep,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Great Britain,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine
8314,135.9001463,113.4953586,50.64278776,391.1029778,384.7550023,235.6689571,348.0275713,125.6612759,21.427534,1.651502766,0.469106687,1852.105863,404.6910649,250.8082446,891.1520628,315.8096152,50.57846187,1683.542018,10.99691479,11.62717769,0.569224832,204.472842,43.27706155,176.0855486,9.551073715,471.5669301,1009.181085,541.5232856,429.1630208,123.5422389,49.75458916,7727.434719,28.03522645,124.0781317,1321.725263
8315,173.9217935,165.1915628,81.34917528,529.828001,651.239416,346.9402209,471.7298881,223.9686839,74.67132308,8.191431338,21.43190176,2821.04238,827.2648857,620.8973067,1401.40292,479.5064428,180.0491741,2501.324298,44.13813535,42.17589825,1.883063668,257.8016849,56.29387058,255.6268489,181.718449,791.3238766,1730.398904,956.2849489,583.6590815,191.6985521,73.28407432,12579.6814,152.1985387,224.8689261,2023.640779
8316,189.7842716,182.9161766,95.93576891,595.3233096,822.7656884,402.0939933,530.7693741,271.2507838,111.7873696,14.16255841,70.37794163,3410.355103,1145.280486,919.6473871,1751.734042,551.1229135,386.7554471,3004.96303,68.09622512,66.72235691,2.675982837,278.2368561,62.13356843,258.9347655,430.4732199,1000.049963,2318.544918,1338.685609,653.5585074,231.982444,83.64178554,15980.70088,325.278714,296.456862,2403.629424
8317,181.7087211,194.2179269,80.45770886,573.6217806,870.4339413,390.4856243,516.6715698,281.9785004,109.7515933,15.9680105,87.32129819,3464.0502,1256.333348,1128.414634,1881.222256,534.3872372,632.9304369,3117.376885,73.28772299,68.32501535,2.931805925,263.1179699,60.19380866,200.1788891,520.8306591,992.141321,2508.86829,1547.965208,613.5147726,237.3540424,84.02570702,16652.84031,337.4769915,320.6317232,2448.342631
8318,150.2370463,174.2909808,58.86510287,476.7086837,794.8426803,321.893903,413.9525557,230.4926061,78.51777066,12.494511,52.48325594,2911.935876,1097.123563,1130.295304,1776.387757,423.2480394,797.2055608,2836.273941,66.73124425,59.98875112,2.531164103,213.1045148,49.77015217,129.3864306,386.5437554,721.457427,2367.43656,1425.293104,478.9448837,199.4305043,69.77568554,14759.85745,193.4348401,295.7449205,2066.010096
8319,99.33633919,120.4693326,36.69955774,315.4253684,608.4027359,212.5821824,265.9650523,134.4816348,38.37298204,5.341502382,10.59268098,1868.764985,708.7373136,749.3959299,1447.544321,278.2973878,586.9872938,2166.228987,42.26520186,37.38896784,1.464101481,134.9282085,31.57214268,36.61464834,128.7144399,339.0540464,1899.791374,1059.473458,273.534468,112.0095101,48.82541751,10918.53448,46.20352361,223.3004302,1263.884272
8320,36.98790607,46.97982587,6.646709795,123.4021809,341.3278691,84.18183091,116.5457935,33.92852536,6.364810145,0.24129009,0.136813539,628.0233874,270.2022629,181.8555787,933.5182827,78.84222633,220.5882377,1155.571778,8.96367752,9.80285194,0.814410905,43.27842646,10.56913847,1.582747903,4.121371201,43.91360504,1163.319667,536.6098628,73.53618639,21.31624696,20.16610434,5902.807572,2.457020183,113.0968356,377.0084798
8321,0.681480802,1.559300393,0,3.433997972,67.82976379,3.262821216,13.33302495,0.027188564,0,0,0,13.04043147,12.5822497,0.421416679,327.0503182,0.116892678,7.41817323,202.3721345,0,0.003927096,0.125945829,0.137738898,0.218741605,0,0,0,389.8286051,78.53505063,0.096044751,0.000252015,1.039178221,1375.273033,0,16.21283755,8.397590553
8322,0,0,0,0,0.000204342,0,0,0,0,0,0,0,0,0,5.0811196,0,0,0.073935947,0,0,0,0,0,0,0,0,7.290455846,0,0,0,0,21.82834587,0,0,0
8323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02158445,0,0,0
