Timestep,Albania,Austria,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Italy,Latvia,Lithuania,Luxembourg,Macedonia,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine
512,21.99577325,2.67613726,0,32.9599376,92.7848151,9.486716631,302.2237937,3.125791892,0,0.658124998,0.029135636,0.677269607,0.665620864,383.5096369,19.89149838,89.00717122,3.157526868,4.773731435,0,27.90224101,3.37418763,0,0,31.10013966,0,108.9698701,49.47175947,5.134487763,0.682352456,0,0,0.03584902,614.3587529
513,75.69725326,48.87160467,5.719830362,153.8563648,247.1101554,73.08202906,516.9758389,53.21991339,4.441302254,13.2446251,38.51434834,166.5503073,162.0932456,938.1351419,120.2667491,503.7583621,41.05494174,46.31486767,0.564253253,80.67200814,10.55000631,12.23626701,0.050282802,319.2772861,22.26533382,373.2584674,202.2613768,31.70349285,10.877982,687.5736122,5.721361394,27.32161569,1400.741706
514,130.0805666,121.577496,53.57458958,259.0411808,436.2676201,170.1554444,661.7966892,134.3429987,47.77933003,32.86455658,238.4594166,1041.74962,706.0926443,1446.940397,273.247329,1077.378202,92.19064996,102.3253101,3.11124111,153.0596562,14.53298653,128.7472773,139.7735799,737.3520057,489.7270214,680.764228,407.6863323,69.13946209,32.41279089,5206.784144,139.2664269,103.7342718,2092.460684
515,170.9707718,195.0643538,128.1155761,338.7958908,624.6196267,229.0272596,723.39429,203.4064816,107.1211284,48.61469101,469.9919786,2278.004164,1295.203955,1797.582632,427.8910544,1671.35677,125.5980515,150.9195693,5.881868559,221.4535496,18.54267417,282.6192246,712.4902741,1112.800344,1346.466715,914.8451362,595.5676227,104.0142917,59.87243932,11289.60194,563.0467262,185.5959229,2483.312172
516,187.9347291,239.9698265,178.2037302,347.9362359,705.5240942,228.2034299,708.2033705,232.3360359,155.4320203,52.19573626,532.5733632,3309.627298,1717.681751,1884.913777,515.8575905,1915.039221,133.0087104,175.405888,7.969868241,241.5791649,22.53694583,388.5919852,1205.78551,1325.628504,2180.283062,1043.257529,662.0879016,116.4911715,57.3697941,16600.3625,859.9614413,234.9551339,2482.18686
517,175.6476406,252.6880316,189.8765671,309.6870322,647.6947392,194.8875512,613.8235852,214.2087711,170.1660611,43.1978249,363.3295761,3828.33633,1811.696788,1719.590094,532.9103686,1812.61135,116.6850224,164.9884798,9.053685277,227.8106599,28.42523977,422.8230862,1297.814014,1230.368016,2657.225553,1015.880716,622.353519,111.4616828,74.51768753,20132.59855,812.8519244,238.7048404,2044.932458
518,132.6015991,225.0856236,174.9186551,223.8797704,491.9936086,159.255971,454.1048154,170.4325664,148.8285847,23.98916619,115.2050837,3759.401816,1578.776172,1469.821554,465.432203,1493.120661,79.02314079,120.4503288,9.553325821,188.6002547,26.42932905,393.1528419,1027.09279,902.0474027,2604.826859,812.0050658,482.6966476,97.28224794,69.09581779,20686.78943,476.692669,217.1076521,1289.999857
519,78.87062064,162.2769595,131.7807904,155.5080725,272.7682658,118.1807809,246.8524415,104.6461203,99.23079922,5.061121933,6.83525778,3129.173155,1092.169674,986.8675628,299.7557802,1188.713673,28.89536019,51.75410519,8.666844203,117.0704262,17.2156743,294.2330823,522.4705192,470.7953394,2238.321006,464.0011623,264.0950769,69.41778241,43.99883844,19435.17825,138.9841772,161.1935519,459.2308383
520,27.37353618,85.90934792,70.445505,75.80212257,68.6607943,63.87761591,47.71965907,39.05757999,36.7332385,3.17E-05,0,2080.040591,496.8254626,374.4061363,104.4136245,721.5034847,0.772697174,2.537144132,6.230388368,46.0677847,7.616150277,162.7004581,88.3414117,105.7032401,1797.131363,113.5048877,89.01954345,25.2874619,18.02034272,15831.22721,11.92273199,89.28924711,25.0946616
521,2.141111753,9.419541499,17.84897798,7.101965165,0.331154424,8.44020254,0,1.849605148,0.853896051,0,0,872.1957085,60.30766948,18.48891222,2.430914579,203.9996354,0,0,1.783606618,1.754010632,0.667910337,31.58800846,0.062454546,0.407466182,1269.726049,0.37864806,3.070084755,0.355875364,2.469132956,9900.405833,0.006196168,23.64878103,0
522,0,0,0.01025719,0,0,0,0,0,0,0,0,63.82636902,0,0,0,2.332582783,0,0,0,0,0,8.57E-06,0,0,546.6305371,0,0,0,0,3258.316392,0,0.006659846,0
523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.22115141,0,0,0,0,87.56811517,0,0,0
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351503472,0,0,0
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534,0,0,0,0,0,0,2.753254985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009653493
535,0.137510073,0,0,0,8.988147517,0,112.7852521,0,0,0,0,0,0,23.76711231,0,0.017019371,0,0,0,0.346013881,0.000361112,0,0,0,0,3.871256255,0.158212784,0,0,0,0,0,138.9790077
536,22.15860368,3.017165656,0,21.68942469,124.1536769,5.135104738,327.6866146,2.93917263,0,0.371668519,0.026675852,0.271085579,0.418491829,356.7301493,17.87837919,65.07200938,3.130670324,2.879718397,0,23.87660651,4.963641084,0,0,17.87875913,0,118.4139543,35.93621694,17.75998378,1.468284964,0,0,0.182422241,774.5027282
537,60.22087015,42.44538902,8.544170811,107.902111,343.8301232,38.41710361,526.1151829,46.57058848,5.1119813,8.191144383,26.60511642,208.6316259,149.574928,863.1688778,88.2651116,509.3143282,37.69259617,29.17547089,1.68929302,72.48564718,15.71491279,15.74738808,0.200694631,212.0886494,17.88303651,370.192381,115.2342976,98.44874272,20.34071509,1006.032734,9.011018463,34.27861837,1573.871898
538,89.09611708,110.8772438,70.83224732,165.6189513,586.8538345,90.77493585,662.2023814,120.5609197,49.21401153,20.72987575,177.9615526,1305.254068,684.1103783,1262.066292,163.9436092,1202.41071,84.27235674,63.52154435,10.04029871,107.7467481,25.48231791,156.3440385,144.7002003,499.7194907,396.2685669,666.6172008,202.9118485,177.3854499,49.71885996,7164.971573,180.3611823,115.2993599,2268.071279
539,82.50373481,164.9962948,159.4316566,247.3199825,752.2373498,121.5060318,734.4381335,194.7551732,102.2944427,31.23315303,371.9734788,2689.318407,1272.064332,1422.492194,222.2696122,1774.845381,117.3919682,95.37628031,18.81370403,113.7527952,33.28219407,348.5498016,680.8884269,744.314336,1080.072162,924.3991021,272.3739869,230.3210019,74.41950165,15099.39181,683.7771806,200.607297,2699.901012
540,68.29170841,181.8463752,232.5444033,307.2098191,767.8283126,137.4183578,716.8581377,255.7937741,150.14609,36.63545572,430.1856497,3788.788469,1722.692546,1396.029518,264.7913144,2127.14052,127.6865258,116.5707733,24.76241201,105.260288,29.01472256,494.1579288,1093.142192,904.9001265,1882.775103,1017.23202,271.5293576,241.79501,84.7436075,21800.56029,1037.358223,244.1914616,2744.892983
541,56.94588396,163.3687021,281.4626526,286.9993029,648.8685285,143.0490897,624.3715827,274.2860274,171.4126127,31.13444469,282.9786228,4371.303603,1942.582222,1234.397827,262.1302672,2202.070212,112.9485166,113.1381587,27.07314608,95.94454173,21.32204365,568.7807832,1072.224267,903.0073784,2482.063539,906.3233613,234.2535883,220.0145938,74.25307578,26056.03567,1004.25586,258.7551135,2276.48268
542,47.86174376,137.3549973,280.6645703,212.7563104,470.5114787,127.8841015,464.9007359,246.4070494,153.1007818,18.01768745,76.56067041,4390.898633,1828.00071,957.1856087,200.4193972,1956.163203,77.65351613,82.30241381,25.71089514,71.48909274,15.11736468,549.7004452,766.3684944,744.7025879,2841.740044,641.2966406,185.4689843,180.9394626,55.946442,27211.05921,619.3029243,239.0654833,1454.955684
543,30.26417094,101.431817,226.9746284,153.5363873,259.7567099,89.82809671,257.1919582,170.2488661,104.4883908,4.210427428,4.549500102,3758.563989,1360.870745,604.0104467,122.787482,1496.833008,30.02051967,35.37976065,20.62473391,42.42037358,10.15439741,429.6828779,359.2535014,447.8841057,2797.505353,332.8721186,113.5177584,110.9928992,34.63719923,24981.45863,192.0649557,180.4282071,537.9285865
544,13.35361482,50.33895102,136.6506891,76.90923948,65.63776848,44.25303166,52.43765664,69.44703969,41.43895517,0.000525998,0,2586.045219,677.0013074,239.0340872,36.78213084,898.8278822,1.09216203,2.245076116,12.43213127,16.33269502,5.490091887,233.5037738,50.14749237,123.3721626,2257.108695,75.69047542,38.83573306,40.60173406,13.08830777,19818.01896,17.31944137,103.6123073,32.72048455
545,1.279656087,6.035011351,38.77912519,7.360788992,0.161964245,5.449839025,0,3.227132613,1.344930769,0,0,1121.964156,94.90506414,13.58811266,0.763869897,254.6926561,0,0,3.247287966,0.749286618,0.431302524,43.02396397,0.005005439,0.738444978,1452.884974,0.088993128,1.331280635,0.711132706,1.55235135,12385.87915,0.013400655,25.43349361,0
546,0,0,0.035345041,0,0,0,0,0,0,0,0,89.36145913,6.40E-06,0,0,2.912099938,0,0,4.60E-05,0,0,0.00019162,0,0,587.5691211,0,0,0,0,4087.989116,0,0.010369817,0
547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.09523946,0,0,0,0,102.4283222,0,0,0
548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430150265,0,0,0
549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
