Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Serbia (RS),02.01.2018 23:00 - 03.01.2018 00:00 (CET),5,2451,0,2,0,0,0,0,0,0,1843,57,0,0,66,0,0,0,0,0
Serbia (RS),03.01.2018 00:00 - 03.01.2018 01:00 (CET),5,2455,0,2,0,0,0,0,0,0,1745,87,0,0,64,0,0,0,0,0
Serbia (RS),03.01.2018 01:00 - 03.01.2018 02:00 (CET),5,2435,0,2,0,0,0,0,0,0,1549,0,0,0,64,0,0,0,0,0
Serbia (RS),03.01.2018 02:00 - 03.01.2018 03:00 (CET),5,2439,0,2,0,0,0,0,0,0,1248,0,0,0,64,0,0,0,0,0
Serbia (RS),03.01.2018 03:00 - 03.01.2018 04:00 (CET),5,2446,0,2,0,0,0,0,0,0,1026,0,0,0,63,0,0,0,0,0
Serbia (RS),03.01.2018 04:00 - 03.01.2018 05:00 (CET),5,2432,0,2,0,0,0,0,0,0,956,0,0,0,62,0,0,0,0,0
Serbia (RS),03.01.2018 05:00 - 03.01.2018 06:00 (CET),5,2445,0,2,0,0,0,0,0,0,1035,0,0,0,62,0,0,0,0,0
Serbia (RS),03.01.2018 06:00 - 03.01.2018 07:00 (CET),5,2438,0,2,0,0,0,0,0,0,1347,0,0,0,62,0,0,0,0,0
Serbia (RS),03.01.2018 07:00 - 03.01.2018 08:00 (CET),5,2583,0,2,0,0,0,0,0,0,1414,0,0,0,62,0,0,0,0,0
Serbia (RS),03.01.2018 08:00 - 03.01.2018 09:00 (CET),5,2677,0,2,0,0,0,0,0,0,1481,0,0,0,61,0,0,0,0,0
Serbia (RS),03.01.2018 09:00 - 03.01.2018 10:00 (CET),5,2761,0,2,0,0,0,0,0,0,1635,0,0,0,61,0,0,0,0,0
Serbia (RS),03.01.2018 10:00 - 03.01.2018 11:00 (CET),5,2674,0,2,0,0,0,0,0,60,1846,24,0,0,61,0,0,0,0,0
Serbia (RS),03.01.2018 11:00 - 03.01.2018 12:00 (CET),5,2627,0,2,0,0,0,0,0,201,1728,25,0,0,62,0,0,0,0,0
Serbia (RS),03.01.2018 12:00 - 03.01.2018 13:00 (CET),5,2655,0,2,0,0,0,0,0,202,1801,6,0,0,61,0,0,0,0,0
Serbia (RS),03.01.2018 13:00 - 03.01.2018 14:00 (CET),5,2779,0,2,0,0,0,0,0,201,1646,0,0,0,61,0,0,0,0,0
Serbia (RS),03.01.2018 14:00 - 03.01.2018 15:00 (CET),5,2800,0,2,0,0,0,0,0,120,1607,0,0,0,62,0,0,0,0,0
Serbia (RS),03.01.2018 15:00 - 03.01.2018 16:00 (CET),5,2909,0,2,0,0,0,0,0,114,1689,0,0,0,61,0,0,0,0,0
Serbia (RS),03.01.2018 16:00 - 03.01.2018 17:00 (CET),5,2909,0,2,0,0,0,0,0,108,1845,0,0,0,61,0,0,0,0,0
Serbia (RS),03.01.2018 17:00 - 03.01.2018 18:00 (CET),5,2992,0,2,0,0,0,0,0,199,1693,0,0,0,62,0,0,0,0,0
Serbia (RS),03.01.2018 18:00 - 03.01.2018 19:00 (CET),5,3034,0,2,0,0,0,0,0,29,1780,0,0,0,61,0,0,0,0,0
Serbia (RS),03.01.2018 19:00 - 03.01.2018 20:00 (CET),5,3084,0,2,0,0,0,0,0,0,1708,0,0,0,65,0,0,0,0,0
Serbia (RS),03.01.2018 20:00 - 03.01.2018 21:00 (CET),5,3140,0,2,0,0,0,0,0,0,1582,7,0,0,67,0,0,0,0,0
Serbia (RS),03.01.2018 21:00 - 03.01.2018 22:00 (CET),5,3160,0,2,0,0,0,0,0,0,1254,23,0,0,67,0,0,0,0,0
Serbia (RS),03.01.2018 22:00 - 03.01.2018 23:00 (CET),5,3139,0,2,0,0,0,0,0,0,1274,18,0,0,66,0,0,0,0,0
Serbia (RS),03.01.2018 23:00 - 04.01.2018 00:00 (CET),5,3098,0,2,0,0,0,0,0,0,1350,0,0,0,66,0,0,0,0,0
Serbia (RS),04.01.2018 00:00 - 04.01.2018 01:00 (CET),5,3079,0,2,0,0,0,0,0,0,1334,0,0,0,67,0,0,0,0,0
