Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GB,13.04.2018 16:30 - 13.04.2018 17:00 (CET),1522,0,0,21515,4472,0,0,0,0,361,326,0,0,6787,130,0,1410,0,413,1067
BZN|GB,13.04.2018 17:00 - 13.04.2018 17:30 (CET),1511,0,0,21662,4654,0,0,0,0,217,359,0,0,6791,129,0,1280,0,355,1051
BZN|GB,13.04.2018 17:30 - 13.04.2018 18:00 (CET),1503,0,0,22004,4658,0,0,0,0,494,392,0,0,6789,130,0,1140,0,277,1028
BZN|GB,13.04.2018 18:00 - 13.04.2018 18:30 (CET),1522,0,0,21995,4817,0,0,0,0,590,659,0,0,6791,130,0,941,0,243,998
BZN|GB,13.04.2018 18:30 - 13.04.2018 19:00 (CET),1524,0,0,22034,4807,0,0,0,0,795,660,0,0,6791,128,0,736,0,237,995
BZN|GB,13.04.2018 19:00 - 13.04.2018 19:30 (CET),1525,0,0,22027,4647,0,0,0,0,1060,668,0,0,6793,129,0,514,0,147,1044
BZN|GB,13.04.2018 19:30 - 13.04.2018 20:00 (CET),1537,0,0,22074,4666,0,0,0,0,984,666,0,0,6792,129,0,306,0,131,994
BZN|GB,13.04.2018 20:00 - 13.04.2018 20:30 (CET),1535,0,0,22382,4729,0,0,0,0,590,677,0,0,6792,129,0,125,0,128,845
BZN|GB,13.04.2018 20:30 - 13.04.2018 21:00 (CET),1534,0,0,22482,4649,0,0,0,0,488,682,0,0,6791,130,0,10,0,122,737
BZN|GB,13.04.2018 21:00 - 13.04.2018 21:30 (CET),1536,0,0,22443,4698,0,0,0,0,361,682,0,0,6704,131,0,6,0,146,637
BZN|GB,13.04.2018 21:30 - 13.04.2018 22:00 (CET),1532,0,0,22487,4685,0,0,0,0,360,691,0,0,6571,130,0,3,0,172,655
BZN|GB,13.04.2018 22:00 - 13.04.2018 22:30 (CET),1532,0,0,21731,4466,0,0,0,0,347,609,0,0,6562,131,0,2,0,140,599
BZN|GB,13.04.2018 22:30 - 13.04.2018 23:00 (CET),1531,0,0,20840,3800,0,0,0,0,419,478,0,0,6548,130,0,0,0,243,548
BZN|GB,13.04.2018 23:00 - 13.04.2018 23:30 (CET),1533,0,0,19944,2651,0,0,0,0,441,414,0,0,6558,131,0,0,0,346,535
BZN|GB,13.04.2018 23:30 - 14.04.2018 00:00 (CET),1530,0,0,19618,1066,0,0,0,0,510,369,0,0,6550,130,0,0,0,277,570
BZN|GB,14.04.2018 00:00 - 14.04.2018 00:30 (CET),1533,0,0,18585,398,0,0,0,0,0,295,0,0,6565,131,0,0,0,273,576
BZN|GB,14.04.2018 00:30 - 14.04.2018 01:00 (CET),1475,0,0,17311,418,0,0,0,0,0,276,0,0,6574,131,0,0,0,286,567
