Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Portugal (PT),05.01.2018 07:00 - 05.01.2018 08:00 (CET),336,0,0,618,1105,0,0,0,0,4,977,524,94,0,0,43,0,0,0,0,3360
Portugal (PT),05.01.2018 08:00 - 05.01.2018 09:00 (CET),336,0,0,1169,1433,0,0,0,0,1118,23,432,205,0,0,45,0,0,0,0,2561
Portugal (PT),05.01.2018 09:00 - 05.01.2018 10:00 (CET),338,0,0,1925,1379,0,0,0,0,1301,1,469,246,0,0,49,0,8,0,0,1883
Portugal (PT),05.01.2018 10:00 - 05.01.2018 11:00 (CET),338,0,0,2027,1469,0,0,0,0,1813,1,538,399,0,0,49,0,20,0,0,1357
Portugal (PT),05.01.2018 11:00 - 05.01.2018 12:00 (CET),336,0,0,1976,1469,0,0,0,0,1354,1,548,311,0,0,48,0,36,0,0,1188
Portugal (PT),05.01.2018 12:00 - 05.01.2018 13:00 (CET),337,0,0,1984,1469,0,0,0,0,951,2,587,127,0,0,48,0,37,0,0,1602
Portugal (PT),05.01.2018 13:00 - 05.01.2018 14:00 (CET),337,0,0,2040,1469,0,0,0,0,1006,1,611,92,0,0,48,0,29,0,0,1798
Portugal (PT),05.01.2018 14:00 - 05.01.2018 15:00 (CET),340,0,0,2034,1467,0,0,0,0,642,2,415,91,0,0,46,0,26,0,0,1941
Portugal (PT),05.01.2018 15:00 - 05.01.2018 16:00 (CET),336,0,0,2004,1466,0,0,0,0,969,1,466,89,0,0,45,0,18,0,0,2168
Portugal (PT),05.01.2018 16:00 - 05.01.2018 17:00 (CET),338,0,0,1962,1466,0,0,0,0,789,2,595,89,0,0,46,0,13,0,0,2227
Portugal (PT),05.01.2018 17:00 - 05.01.2018 18:00 (CET),340,0,0,1984,1466,0,0,0,0,1477,1,883,134,0,0,48,0,3,0,0,2020
Portugal (PT),05.01.2018 18:00 - 05.01.2018 19:00 (CET),334,0,0,1995,1466,0,0,0,0,1588,1,1038,214,0,0,47,0,0,0,0,1898
Portugal (PT),05.01.2018 19:00 - 05.01.2018 20:00 (CET),337,0,0,2002,1467,0,0,0,0,1656,1,952,405,0,0,49,0,0,0,0,1854
Portugal (PT),05.01.2018 20:00 - 05.01.2018 21:00 (CET),343,0,0,2007,1467,0,0,0,0,1583,1,1039,563,0,0,48,0,0,0,0,1997
Portugal (PT),05.01.2018 21:00 - 05.01.2018 22:00 (CET),338,0,0,2031,1467,0,0,0,0,1774,1,1084,713,0,0,47,0,0,0,0,1859
Portugal (PT),05.01.2018 22:00 - 05.01.2018 23:00 (CET),330,0,0,1982,1430,0,0,0,0,1397,2,792,345,0,0,49,0,0,0,0,1935
Portugal (PT),05.01.2018 23:00 - 06.01.2018 00:00 (CET),329,0,0,1806,1208,0,0,0,0,789,4,382,129,0,0,49,0,0,0,0,2056
Portugal (PT),06.01.2018 00:00 - 06.01.2018 01:00 (CET),340,0,0,1402,1181,0,0,0,0,952,4,476,95,0,0,47,0,0,0,0,2029
Portugal (PT),06.01.2018 01:00 - 06.01.2018 02:00 (CET),339,0,0,1117,1181,0,0,0,0,12,14,461,93,0,0,45,0,0,0,0,1863
Portugal (PT),06.01.2018 02:00 - 06.01.2018 03:00 (CET),338,0,0,633,1102,0,0,0,0,0,415,584,100,0,0,44,0,0,0,0,1793
Portugal (PT),06.01.2018 03:00 - 06.01.2018 04:00 (CET),338,0,0,385,949,0,0,0,0,0,646,466,95,0,0,43,0,0,0,0,1768
Portugal (PT),06.01.2018 04:00 - 06.01.2018 05:00 (CET),340,0,0,385,933,0,0,0,0,98,787,444,87,0,0,43,0,0,0,0,1930
Portugal (PT),06.01.2018 05:00 - 06.01.2018 06:00 (CET),334,0,0,383,948,0,0,0,0,100,955,471,87,0,0,41,0,0,0,0,1978
Portugal (PT),06.01.2018 06:00 - 06.01.2018 07:00 (CET),338,0,0,383,942,0,0,0,0,35,848,468,82,0,0,41,0,0,0,0,2008
Portugal (PT),06.01.2018 07:00 - 06.01.2018 08:00 (CET),340,0,0,456,948,0,0,0,0,0,992,498,77,0,0,41,0,0,0,0,2157
Portugal (PT),06.01.2018 08:00 - 06.01.2018 09:00 (CET),343,0,0,672,1000,0,0,0,0,0,506,648,91,0,0,43,0,0,0,0,2220
Portugal (PT),06.01.2018 09:00 - 06.01.2018 10:00 (CET),345,0,0,799,1180,0,0,0,0,502,308,524,90,0,0,42,0,36,0,0,2285
Portugal (PT),06.01.2018 10:00 - 06.01.2018 11:00 (CET),343,0,0,1118,1179,0,0,0,0,959,3,356,327,0,0,42,0,158,0,0,2177
Portugal (PT),06.01.2018 11:00 - 06.01.2018 12:00 (CET),343,0,0,1193,1180,0,0,0,0,1330,1,367,539,0,0,41,0,274,0,0,2137
Portugal (PT),06.01.2018 12:00 - 06.01.2018 13:00 (CET),349,0,0,1189,1180,0,0,0,0,1065,1,359,435,0,0,43,0,327,0,0,2207
Portugal (PT),06.01.2018 13:00 - 06.01.2018 14:00 (CET),346,0,0,1183,1179,0,0,0,0,726,1,369,314,0,0,41,0,325,0,0,2310
Portugal (PT),06.01.2018 14:00 - 06.01.2018 15:00 (CET),346,0,0,1049,1179,0,0,0,0,519,12,325,262,0,0,42,0,298,0,0,2552
Portugal (PT),06.01.2018 15:00 - 06.01.2018 16:00 (CET),338,0,0,803,1141,0,0,0,0,3,364,600,95,0,0,41,0,236,0,0,2832
Portugal (PT),06.01.2018 16:00 - 06.01.2018 17:00 (CET),341,0,0,790,1131,0,0,0,0,22,294,692,88,0,0,42,0,150,0,0,2767
Portugal (PT),06.01.2018 17:00 - 06.01.2018 18:00 (CET),345,0,0,968,1179,0,0,0,0,691,11,406,190,0,0,42,0,54,0,0,2682
Portugal (PT),06.01.2018 18:00 - 06.01.2018 19:00 (CET),344,0,0,1053,1177,0,0,0,0,632,2,321,524,0,0,42,0,1,0,0,2904
Portugal (PT),06.01.2018 19:00 - 06.01.2018 20:00 (CET),344,0,0,1105,1179,0,0,0,0,489,2,360,518,0,0,42,0,0,0,0,3027
Portugal (PT),06.01.2018 20:00 - 06.01.2018 21:00 (CET),345,0,0,919,1179,0,0,0,0,388,2,381,556,0,0,42,0,0,0,0,3031
