Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Romania (RO),03.01.2018 18:00 - 03.01.2018 19:00 (CET),35,2127,0,2010,238,0,0,0,0,0,1710,285,0,1383,0,0,0,0,0,336
Romania (RO),03.01.2018 19:00 - 03.01.2018 20:00 (CET),35,2119,0,2001,232,0,0,0,0,0,1564,217,0,1384,0,0,0,0,0,433
Romania (RO),03.01.2018 20:00 - 03.01.2018 21:00 (CET),36,2043,0,1662,232,0,0,0,0,0,1807,166,0,1381,0,0,0,0,0,588
Romania (RO),03.01.2018 21:00 - 03.01.2018 22:00 (CET),36,1820,0,1906,240,0,0,0,0,0,1800,143,0,1383,0,0,0,0,0,433
Romania (RO),03.01.2018 22:00 - 03.01.2018 23:00 (CET),35,2052,0,1677,235,0,0,0,0,0,1511,82,0,1386,0,0,0,0,0,399
Romania (RO),03.01.2018 23:00 - 04.01.2018 00:00 (CET),33,2058,0,1591,235,0,0,0,0,0,1142,195,0,1386,0,0,0,0,0,414
Romania (RO),04.01.2018 00:00 - 04.01.2018 01:00 (CET),32,2017,0,1393,232,0,0,0,0,0,979,190,0,1386,0,0,0,0,0,280
Romania (RO),04.01.2018 01:00 - 04.01.2018 02:00 (CET),33,1807,0,1344,238,0,0,0,0,0,971,215,0,1386,0,0,0,0,0,244
Romania (RO),04.01.2018 02:00 - 04.01.2018 03:00 (CET),33,1613,0,1338,236,0,0,0,0,0,818,261,0,1392,0,0,0,0,0,298
Romania (RO),04.01.2018 03:00 - 04.01.2018 04:00 (CET),32,1641,0,1329,238,0,0,0,0,0,851,267,0,1394,0,0,0,0,0,214
Romania (RO),04.01.2018 04:00 - 04.01.2018 05:00 (CET),33,1818,0,1334,241,0,0,0,0,0,907,329,0,1393,0,0,0,0,0,131
Romania (RO),04.01.2018 05:00 - 04.01.2018 06:00 (CET),34,2098,0,1495,233,0,0,0,0,0,1070,278,0,1394,0,0,0,0,0,52
Romania (RO),04.01.2018 06:00 - 04.01.2018 07:00 (CET),34,2112,0,1627,232,0,0,0,0,0,1560,282,0,1393,0,0,0,0,0,24
Romania (RO),04.01.2018 07:00 - 04.01.2018 08:00 (CET),34,2187,0,1791,233,0,0,0,0,0,1630,361,0,1387,0,0,5,0,0,36
Romania (RO),04.01.2018 08:00 - 04.01.2018 09:00 (CET),34,2169,0,1998,233,0,0,0,0,0,1613,363,0,1320,0,0,28,0,0,36
Romania (RO),04.01.2018 09:00 - 04.01.2018 10:00 (CET),34,2187,0,2001,235,0,0,0,0,0,1752,269,0,1337,0,0,66,0,0,20
Romania (RO),04.01.2018 10:00 - 04.01.2018 11:00 (CET),34,2191,0,2002,237,0,0,0,0,0,1687,307,0,1342,0,0,115,0,0,23
Romania (RO),04.01.2018 11:00 - 04.01.2018 12:00 (CET),34,2166,0,2005,232,0,0,0,0,0,1665,291,0,1322,0,0,151,0,0,100
Romania (RO),04.01.2018 12:00 - 04.01.2018 13:00 (CET),34,2129,0,1999,232,0,0,0,0,0,1675,253,0,1350,0,0,172,0,0,149
Romania (RO),04.01.2018 13:00 - 04.01.2018 14:00 (CET),34,2113,0,1999,232,0,0,0,0,0,1656,260,0,1360,0,0,148,0,0,135
Romania (RO),04.01.2018 14:00 - 04.01.2018 15:00 (CET),34,2097,0,2000,233,0,0,0,0,0,1637,267,0,1371,0,0,124,0,0,120
Romania (RO),04.01.2018 15:00 - 04.01.2018 16:00 (CET),34,2129,0,2000,237,0,0,0,0,0,1625,292,0,1362,0,0,24,0,0,174
Romania (RO),04.01.2018 16:00 - 04.01.2018 17:00 (CET),34,2181,0,2012,237,0,0,0,0,0,1724,353,0,1382,0,0,0,0,0,226
Romania (RO),04.01.2018 17:00 - 04.01.2018 18:00 (CET),34,2204,0,2019,239,0,0,0,0,0,1797,421,0,1385,0,0,0,0,0,240
Romania (RO),04.01.2018 18:00 - 04.01.2018 19:00 (CET),34,2204,0,2019,235,0,0,0,0,0,1640,535,0,1386,0,0,0,0,0,233
Romania (RO),04.01.2018 19:00 - 04.01.2018 20:00 (CET),34,2221,0,2021,234,0,0,0,0,0,1642,548,0,1394,0,0,0,0,0,194
Romania (RO),04.01.2018 20:00 - 04.01.2018 21:00 (CET),34,2235,0,2023,236,0,0,0,0,0,1661,488,0,1393,0,0,0,0,0,142
Romania (RO),04.01.2018 21:00 - 04.01.2018 22:00 (CET),34,2131,0,1881,236,0,0,0,0,0,1622,228,0,1394,0,0,0,0,0,241
Romania (RO),04.01.2018 22:00 - 04.01.2018 23:00 (CET),35,2223,0,1692,244,0,0,0,0,0,1340,186,0,1394,0,0,0,0,0,236
Romania (RO),04.01.2018 23:00 - 05.01.2018 00:00 (CET),35,2161,0,1666,242,0,0,0,0,0,1181,242,0,1393,0,0,0,0,0,141
Romania (RO),05.01.2018 00:00 - 05.01.2018 01:00 (CET),35,2062,0,1231,237,0,0,0,0,0,1120,305,0,1394,0,0,0,0,0,85
Romania (RO),05.01.2018 01:00 - 05.01.2018 02:00 (CET),35,2028,0,1128,238,0,0,0,0,0,1085,249,0,1404,0,0,0,0,0,92
Romania (RO),05.01.2018 02:00 - 05.01.2018 03:00 (CET),35,1997,0,1125,238,0,0,0,0,0,1031,218,0,1405,0,0,0,0,0,114
Romania (RO),05.01.2018 03:00 - 05.01.2018 04:00 (CET),35,2026,0,1126,241,0,0,0,0,0,1064,171,0,1405,0,0,0,0,0,89
Romania (RO),05.01.2018 04:00 - 05.01.2018 05:00 (CET),35,2051,0,1128,241,0,0,0,0,0,1085,225,0,1405,0,0,0,0,0,76
Romania (RO),05.01.2018 05:00 - 05.01.2018 06:00 (CET),34,2034,0,1227,243,0,0,0,0,0,1222,267,0,1404,0,0,0,0,0,88
Romania (RO),05.01.2018 06:00 - 05.01.2018 07:00 (CET),34,2038,0,1381,243,0,0,0,0,0,1564,302,0,1403,0,0,0,0,0,101
Romania (RO),05.01.2018 07:00 - 05.01.2018 08:00 (CET),34,2173,0,1591,239,0,0,0,0,0,1624,389,0,1399,0,0,20,0,0,75
