Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Consumption [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Finland (FI),03.01.2018 06:00 - 03.01.2018 07:00 (CET),859,0,0,768,694,1,0,439,0,0,0,1334,0,0,2792,74,43,0,7,0,687
Finland (FI),03.01.2018 07:00 - 03.01.2018 08:00 (CET),887,0,0,800,697,1,0,443,0,0,0,1534,0,0,2792,74,43,0,7,0,662
Finland (FI),03.01.2018 08:00 - 03.01.2018 09:00 (CET),893,0,0,795,681,1,0,435,0,0,0,1693,0,0,2792,74,43,0,7,0,660
Finland (FI),03.01.2018 09:00 - 03.01.2018 10:00 (CET),898,0,0,773,682,1,0,436,0,0,0,1756,0,0,2793,74,43,0,7,0,655
Finland (FI),03.01.2018 10:00 - 03.01.2018 11:00 (CET),900,0,0,770,680,1,0,438,0,0,0,1795,0,0,2793,74,43,0,7,0,626
Finland (FI),03.01.2018 11:00 - 03.01.2018 12:00 (CET),909,0,0,756,681,1,0,446,0,0,0,1961,0,0,2792,74,43,0,7,0,565
Finland (FI),03.01.2018 12:00 - 03.01.2018 13:00 (CET),904,0,0,751,685,1,0,454,0,0,0,2023,0,0,2793,74,43,0,7,0,519
Finland (FI),03.01.2018 13:00 - 03.01.2018 14:00 (CET),901,0,0,750,687,1,0,459,0,0,0,2071,0,0,2792,74,43,0,7,0,450
Finland (FI),03.01.2018 14:00 - 03.01.2018 15:00 (CET),912,0,0,751,697,1,0,456,0,0,0,2101,0,0,2793,74,43,0,7,0,394
Finland (FI),03.01.2018 15:00 - 03.01.2018 16:00 (CET),904,0,0,766,741,1,0,459,0,0,0,2177,0,0,2793,74,43,0,7,0,428
