Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
Czech Republic (CZ),01.01.2018 10:00 - 01.01.2018 11:00 (CET),262,1819,193,250,363,12,0,0,0,191,90,26,0,2254,114,269,112,13,0,167
Czech Republic (CZ),01.01.2018 11:00 - 01.01.2018 12:00 (CET),262,1843,193,247,370,12,0,0,0,38,90,25,0,2251,117,271,147,13,0,175
Czech Republic (CZ),01.01.2018 12:00 - 01.01.2018 13:00 (CET),262,1846,195,249,373,12,0,0,0,137,87,28,0,2252,120,272,190,13,0,164
Czech Republic (CZ),01.01.2018 13:00 - 01.01.2018 14:00 (CET),262,1811,196,245,360,12,0,0,0,62,85,29,0,2302,119,271,166,13,0,143
Czech Republic (CZ),01.01.2018 14:00 - 01.01.2018 15:00 (CET),264,1807,195,245,352,12,0,0,0,66,85,25,0,2382,122,272,115,13,0,147
Czech Republic (CZ),01.01.2018 15:00 - 01.01.2018 16:00 (CET),262,1815,195,244,357,12,0,0,0,70,87,30,0,2446,121,272,31,13,0,100
Czech Republic (CZ),01.01.2018 16:00 - 01.01.2018 17:00 (CET),264,1893,196,248,358,12,0,0,0,272,85,74,0,2447,122,272,2,13,0,69
Czech Republic (CZ),01.01.2018 17:00 - 01.01.2018 18:00 (CET),265,2106,202,257,358,12,0,0,0,895,83,130,0,2448,124,275,0,14,0,51
Czech Republic (CZ),01.01.2018 18:00 - 01.01.2018 19:00 (CET),265,2314,200,258,359,12,0,0,0,743,87,72,0,2448,124,276,0,14,0,51
Czech Republic (CZ),01.01.2018 19:00 - 01.01.2018 20:00 (CET),265,2496,211,259,362,12,0,0,0,800,86,122,0,2449,122,277,0,14,0,58
Czech Republic (CZ),01.01.2018 20:00 - 01.01.2018 21:00 (CET),266,2637,216,258,358,12,0,0,0,671,85,77,0,2449,120,275,0,14,0,67
Czech Republic (CZ),01.01.2018 21:00 - 01.01.2018 22:00 (CET),266,2706,208,245,357,12,0,0,0,461,85,68,0,2452,119,275,0,14,0,87
Czech Republic (CZ),01.01.2018 22:00 - 01.01.2018 23:00 (CET),265,2736,208,239,363,12,0,0,0,207,81,86,0,2455,107,271,0,14,0,79
Czech Republic (CZ),01.01.2018 23:00 - 02.01.2018 00:00 (CET),265,2423,196,231,362,12,0,0,0,237,84,32,0,2457,106,270,0,14,0,87
Czech Republic (CZ),02.01.2018 00:00 - 02.01.2018 01:00 (CET),263,2179,177,224,359,12,0,0,0,845,85,23,0,2459,107,269,0,13,0,95
Czech Republic (CZ),02.01.2018 01:00 - 02.01.2018 02:00 (CET),263,2242,178,228,362,12,0,0,0,1117,85,22,0,2458,107,269,0,13,0,77
Czech Republic (CZ),02.01.2018 02:00 - 02.01.2018 03:00 (CET),263,2220,179,230,359,12,0,0,0,1109,85,22,0,2457,107,269,0,13,0,75
Czech Republic (CZ),02.01.2018 03:00 - 02.01.2018 04:00 (CET),263,2264,183,236,361,12,0,0,0,1100,85,22,0,2457,107,268,0,13,0,82
Czech Republic (CZ),02.01.2018 04:00 - 02.01.2018 05:00 (CET),263,2260,178,236,361,12,0,0,0,918,85,22,0,2459,108,268,0,13,0,107
